I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	186.462	-5.82759	-2.02695	0.048968	61.8794	5558.34	-0.530896	2.9776	0.0195801	0.165132	-1.5362	2.3212	-4.69775	-4.2133	-1.53163	0.143746	18.4198	17.232	32.8542	10017.6	4136.72	1.37846	3.20397	5269.29	19755.9	5638.15	666.991	83.5566	244.903	53.8246	2.42242	0.195048	7.47455	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	186.331	-5.87772	-2.03413	0.0510421	58.2074	5595.77	-0.412728	2.97658	0.0209824	4.38006	-14.3875	2.31324	-4.60504	-4.5369	-1.59725	0.134731	18.7204	17.5162	31.8007	9956.3	3960.68	1.41387	3.21575	4967.99	17798.6	5175.14	602.865	76.1163	220.702	48.8719	2.23451	0.180017	7.26984	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	186.2	-5.93076	-2.04259	0.0533405	54.4735	5632.31	-0.277503	3.01945	0.0228995	7.42136	-23.3764	2.30541	-4.47182	-4.91116	-1.65563	0.12565	18.7227	17.5214	30.7355	9984.85	3808.79	1.41536	3.16492	4768.79	16581.3	4713.53	542.383	66.4152	209.434	44.0614	2.06966	0.158878	7.05837	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	186.069	-5.98797	-2.0527	0.0559769	50.5587	5667.44	-0.126463	3.06858	0.0252337	8.54433	-25.6814	2.31357	-4.30847	-5.35575	-1.71216	0.116967	18.4795	17.2968	29.799	10029.5	3678.91	1.37706	3.06158	4667.99	14218	4264.34	448.399	57.7565	183.117	39.2536	1.77453	0.14333	6.83689	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	185.938	-6.04673	-2.06324	0.0588405	46.6554	5698.68	0.0240628	3.09989	0.0277003	8.88875	-25.3447	2.33285	-4.13474	-5.8562	-1.76059	0.108802	17.996	16.8469	28.8338	10065.6	3576.67	1.29901	2.8989	4633.73	12543.5	3864	388.825	50.8123	168.308	35.4346	1.60262	0.131939	6.6143	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	185.806	-6.10712	-2.07397	0.0619158	42.9403	5725.56	0.167334	3.1131	0.030275	8.68253	-23.3803	2.33527	-3.95042	-6.41372	-1.78692	0.100416	17.3053	16.2029	27.871	10094.7	3514.68	1.18687	2.69021	4667.45	11401.1	3504.1	355.342	44.6121	159.361	31.9813	1.4749	0.120793	6.39354	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	185.674	-6.172	-2.0863	0.0653749	39.3469	5751.38	0.312991	3.11279	0.0331369	7.99241	-20.276	2.30717	-3.74151	-7.06552	-1.79542	0.0908895	16.4736	15.4267	26.697	10121.7	3449.69	1.0598	2.4463	4704.3	10621.6	3105.89	331.425	35.9621	149.569	27.2126	1.26687	0.100846	6.16486	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	185.542	-6.24362	-2.10017	0.0693201	35.8481	5775.68	0.454475	3.10781	0.0364928	6.51128	-15.0944	2.25624	-3.51478	-7.85161	-1.76878	0.0810425	15.6383	14.6467	25.7413	10144.1	3434.38	0.932915	2.22291	4795.84	11471.6	2757.77	348.7	34.2213	143.983	22.6813	1.14314	0.0849126	5.93179	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	185.41	-6.32088	-2.1152	0.0737363	32.3109	5798.98	0.591883	3.08935	0.0401925	4.57363	-8.74172	2.22424	-3.28881	-8.75165	-1.72316	0.0719584	14.8909	13.949	25.0934	10136.8	3457.28	0.814672	2.03799	4931.42	12643.2	2433.39	361.465	34.74	138.111	18.2617	1.01435	0.07149	5.69228	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	185.277	-6.40518	-2.13149	0.0787769	28.7705	5821.13	0.724044	3.04727	0.0442489	2.2356	-1.66467	2.21775	-3.06034	-9.7863	-1.64639	0.0639505	14.2703	13.3698	24.7847	10082.2	3517.65	0.709911	1.9006	5108	13405.5	2245.15	340.853	35.3682	127.736	15.2704	0.81888	0.0606641	5.4442	-0.44	-0.136432
