I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	172.922	-6.04901	-1.39856	0.049014	65.7598	3523.28	-0.924812	2.66008	0.0175195	5.43642	-13.0782	9.11447	-11.8561	3.95788	-7.56227	0.599029	8.24097	7.72011	8.27004	11012.8	1517.52	0.587882	0.695989	2669.95	28291.7	5733.04	874.103	98.8751	354.865	51.6831	3.61944	0.23987	7.46809	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	172.992	-6.07297	-1.40906	0.0499987	63.9965	3560.01	-1.01755	2.66106	0.0181136	5.8701	-17.1905	9.23291	-12.2823	3.98231	-7.93899	0.590715	8.30908	7.78484	8.26399	10998.7	1511.35	0.594269	0.71345	2641.39	26950.3	5517.69	891.875	93.3619	350.31	50.6288	3.74546	0.222244	7.36834	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	173.063	-6.09806	-1.42029	0.0510817	62.1811	3598.93	-1.12279	2.67801	0.018899	6.21956	-20.6849	9.35489	-12.7802	3.99639	-8.36498	0.581362	8.37246	7.84517	8.26381	11006.6	1505.14	0.60054	0.729975	2617.67	25646.8	5277.84	844.691	95.8518	343.427	48.8749	3.53365	0.227666	7.26532	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	173.133	-6.12339	-1.43166	0.052187	60.3366	3638.44	-1.23089	2.6968	0.0197199	6.53747	-23.9815	9.48158	-13.2933	4.01018	-8.80234	0.571763	8.43515	7.90485	8.2638	11015.1	1498.74	0.60688	0.7464	2594.37	24294	5049.73	798.738	97.5112	335.453	47.2241	3.33039	0.231114	7.16142	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	173.204	-6.14985	-1.44387	0.0534026	58.3493	3680.27	-1.34653	2.72403	0.0207041	6.74335	-26.3494	9.61809	-13.8653	4.01504	-9.28462	0.560853	8.49335	7.96035	8.26415	11027.6	1491.21	0.613496	0.762123	2573.4	22826.5	4929.78	760.627	91.5878	325.037	46.6045	3.16339	0.216046	7.05342	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	173.274	-6.17687	-1.45641	0.0546706	56.3369	3723.57	-1.46828	2.75316	0.0217604	6.88366	-28.3182	9.75802	-14.4727	4.01555	-9.79836	0.549267	8.55101	8.01533	8.2638	11036.7	1482.93	0.620503	0.777934	2552.53	21479.8	4769.87	722.24	86.7157	314.516	45.5331	3.00005	0.20384	6.94349	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	173.346	-6.20499	-1.46989	0.0560467	54.2812	3768.8	-1.59158	2.78576	0.0229504	6.91836	-29.5183	9.88059	-15.1227	3.99391	-10.3605	0.536027	8.6061	8.06794	8.26087	11041.4	1472.87	0.628244	0.793677	2532.02	20446.9	4489.12	683.888	81.7639	303.614	43.0402	2.82347	0.191071	6.82993	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	173.416	-6.23407	-1.48398	0.0575157	52.1832	3816.42	-1.72379	2.81832	0.024246	6.88027	-30.1852	10.0077	-15.8329	3.96428	-10.978	0.521689	8.66161	8.12094	8.25688	11035.6	1461.51	0.636974	0.809908	2511.23	19309	4267.23	637.124	76.7639	287.396	41.1913	2.60245	0.179084	6.71325	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	173.489	-6.26424	-1.49903	0.0590913	50.0429	3865.4	-1.85285	2.85093	0.0256509	6.76999	-30.3153	10.1113	-16.5762	3.91019	-11.6408	0.505764	8.71476	8.17174	8.24837	11020.8	1448.23	0.646687	0.826259	2489.91	17318.1	4137.25	556.368	71.9875	254.052	40.1258	2.17522	0.168214	6.59333	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	173.559	-6.29579	-1.51507	0.0608162	47.84	3917.44	-1.99375	2.88017	0.0271953	6.5915	-29.9045	10.2205	-17.4009	3.84366	-12.3842	0.488416	8.77487	8.22907	8.24826	10989.7	1434.51	0.658213	0.844105	2469.57	16685.8	3888.06	498.93	66.8074	232.684	37.8837	1.90296	0.157887	6.46882	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	173.631	-6.32833	-1.53203	0.0626505	45.5937	3970.29	-2.12945	2.90754	0.0288356	6.36549	-29.1086	10.3085	-18.2527	3.75546	-13.1704	0.469838	8.83496	8.28641	8.24763	10950	1419.56	0.670815	0.862279	2449.3	17307.9	3521.17	464.392	63.1547	222.257	34.47	1.76	0.152645	6.34118	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	173.702	-6.36302	-1.55054	0.0647149	43.2843	4026.72	-2.28326	2.92759	0.0306596	6.06487	-28.1813	10.3903	-19.2192	3.63775	-14.0717	0.449292	8.92198	8.36901	8.28686	10891.6	1409.52	0.685892	0.884563	2434.56	17671.5	3244.93	423.982	55.6566	201.42	31.8504	1.60874	0.138864	6.20718	-0.446131	-0.1
209.15	145.877	27.1854	3.36227	0.842915	173.774	-6.39869	-1.56994	0.0668935	40.9047	4083.38	-2.43077	2.94456	0.0325673	5.72428	-27.1438	10.4551	-20.2158	3.49644	-15.012	0.427616	9.01629	8.45847	8.33814	10827	1401.33	0.70173	0.907899	2421.86	17628.8	3053.05	380.435	45.9474	173.435	30.0458	1.45111	0.119704	6.06997	-0.445779	-0.1
