I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	178	-5.60974	-1.92323	0.0394616	88.4554	5928.03	-0.278873	2.85926	0.0131169	-3.00105	3.20612	1.19525	-4.66717	-2.13259	-0.752977	0.105808	7.52762	7.0422	8.88704	11396.9	1620.6	0.541583	0.515577	3236.98	35650.3	6867.08	1066.56	132.136	517.301	60.8293	4.16016	0.350056	8.62862	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	178	-5.64412	-1.92329	0.0404191	85.9257	5961.78	-0.297844	2.82344	0.0134805	-3.40636	4.43182	1.13093	-4.71054	-2.22939	-0.786698	0.0972356	7.7009	7.20555	8.8895	11314.7	1617.49	0.550233	0.54622	3151.29	34102.5	6633.02	1033	130.496	474.724	58.0246	4.05062	0.344168	8.49146	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	178	-5.67931	-1.92394	0.0414298	83.3781	5996.36	-0.329767	2.78165	0.01384	-3.92582	6.09682	1.05854	-4.74589	-2.33425	-0.821945	0.0882997	7.8734	7.36822	8.89418	11221.9	1613.24	0.559748	0.578428	3071.04	32044.5	6750.97	954.2	134.273	430	58.5502	3.71852	0.354276	8.35226	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	178	-5.71563	-1.92542	0.0425163	80.7989	6031.47	-0.388674	2.72918	0.0141753	-4.59336	8.20592	0.963611	-4.7599	-2.46002	-0.859521	0.0779476	8.02867	7.51483	8.88845	11113	1607.63	0.569584	0.609841	2998.68	30668.1	6610.83	917.379	122.222	400.694	56.9636	3.51653	0.313494	8.21016	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	178	-5.7516	-1.92688	0.0436268	78.2869	6064.94	-0.47548	2.67034	0.0144768	-5.21647	10.1183	0.861124	-4.76001	-2.59216	-0.899577	0.0675242	8.17234	7.65057	8.88529	10992.2	1602.01	0.579113	0.640148	2934.9	29527.1	6286.52	880.393	111.369	376.559	53.44	3.25788	0.276609	8.07053	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	178	-5.78705	-1.9283	0.0447562	75.8261	6096.6	-0.594716	2.6077	0.0147535	-5.66008	11.2434	0.75107	-4.75101	-2.73287	-0.94439	0.0570813	8.30679	7.77767	8.88762	10860.7	1596.8	0.588267	0.669452	2879.29	28567.7	5956.09	847.995	104.841	357.741	49.5225	2.98417	0.252644	7.93389	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	178	-5.82361	-1.93045	0.0459649	73.2873	6128.13	-0.750105	2.54051	0.0150267	-5.80261	10.8559	0.627675	-4.73407	-2.89147	-0.994561	0.0460992	8.43599	7.89989	8.89364	10712.1	1591.55	0.597224	0.698651	2829.16	27184.4	5859.75	798.704	110.268	333.308	47.1811	2.61238	0.262284	7.79396	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	178	-5.86176	-1.93379	0.0473067	70.4416	6159.9	-0.951645	2.48297	0.0154068	-4.91049	6.20593	0.488159	-4.73212	-3.08454	-1.0625	0.0346064	8.56517	8.02214	8.91323	10566.8	1588.13	0.606469	0.728274	2785.91	25781.3	5700.75	800.797	104.744	298.22	43.4784	2.43735	0.245102	7.64685	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	178	-5.90125	-1.93817	0.0487634	67.4594	6192.04	-1.17856	2.44949	0.0159943	-3.46067	-0.686709	0.333567	-4.74718	-3.30509	-1.14488	0.0227173	8.70088	8.15054	8.95161	10458.3	1586.37	0.616543	0.759071	2748.22	24432.9	5536.43	775.763	96.8664	241.493	39.4159	2.50352	0.22372	7.49367	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	178	-5.94246	-1.94388	0.0503632	64.3595	6224.92	-1.42755	2.45204	0.0168954	-1.71185	-8.77013	0.160064	-4.78938	-3.55921	-1.24524	0.0104277	8.85023	8.29175	9.01795	10407.8	1585.63	0.628261	0.792215	2716.77	23319.7	5257.86	722.062	89.871	145.241	35.0835	3.16855	0.206536	7.33319	-0.44	-0.136432
214.345	149.144	27.4025	3.43914	1.13653	178	-5.98634	-1.95167	0.0521919	61.1137	6259.45	-1.66238	2.49372	0.0182471	-0.497632	-14.3096	-0.0403104	-4.89146	-3.86663	-1.37298	-0.00213793	9.04738	8.4778	9.17133	10405.7	1618.65	0.644901	0.832328	2700.13	20998.5	4912.66	665.955	84.4436	5056.19	39.1921	5.67216	0.195088	7.16265	-0.44	-0.134925
213.644	149.011	27.3732	3.436	1.12456	178	-6.03224	-1.96104	0.0542045	57.7571	6296.06	-1.86217	2.58074	0.0201306	0.298552	-18.0519	-0.266936	-5.04555	-4.22386	-1.52776	-0.0150922	9.57708	8.97561	9.98749	10416	1898.9	0.674756	0.914936	2785.08	18700.2	4646.03	611.487	76.807	31249	80.0958	7.68332	0.17827	6.98446	-0.44	-0.133417
212.992	148.877	27.3459	3.43286	1.11256	177.877	-6.0766	-1.97027	0.0562409	54.5632	6330.99	-2.01008	2.71662	0.0225039	0.667433	-19.8951	-0.501634	-5.23971	-4.60686	-1.70721	-0.0273062	10.564	9.90193	11.8082	10431.3	2483	0.722358	1.06167	3020.23	16824.2	4462.97	560.778	70.2902	77706.5	145.987	8.59221	0.165828	6.81265	-0.44	-0.13191
212.344	148.744	27.3188	3.42972	1.10055	177.744	-6.12464	-1.98247	0.0586344	51.2284	6370.21	-2.03931	2.90044	0.0258057	0.507759	-19.8403	-0.788482	-5.50162	-5.08972	-1.93978	-0.039947	12.1223	11.3643	15.3152	10435.2	3214.52	0.796052	1.33365	3471.22	14682.6	4068.06	476.696	63.6232	129012	226.685	6.45846	0.154254	6.62864	-0.44	-0.130402
211.695	148.61	27.2917	3.42656	1.0885	177.61	-6.17596	-1.99732	0.0613166	47.7951	6413.89	-1.96801	3.05889	0.0293351	0.0914824	-18.8672	-1.13043	-5.78964	-5.67203	-2.2183	-0.0532313	13.5623	12.7161	18.8919	10429.7	3679.34	0.871414	1.64135	3896.48	13291.8	3669.15	414.503	55.726	158116	325.893	4.86018	0.139789	6.43539	-0.44	-0.128894
211.047	148.475	27.2646	3.4234	1.07644	177.475	-6.23013	-2.01437	0.0642613	44.2746	6460.79	-1.81362	3.18907	0.0330074	-0.520334	-17.05	-1.51789	-6.09914	-6.33647	-2.53287	-0.0668884	14.8391	13.9152	22.2295	10416.8	3916.13	0.943326	1.95486	4263.76	12398.7	3224.1	357.447	45.9753	164531	427.041	3.28002	0.120449	6.23435	-0.44	-0.127387
210.399	148.341	27.2376	3.42024	1.06435	177.341	-6.29152	-2.03683	0.0679045	40.4631	6514.37	-1.49631	3.24645	0.0368781	-1.48723	-13.4758	-2.03848	-6.42961	-7.24662	-2.93767	-0.0811628	15.7581	14.7791	24.3748	10390.6	3823.47	0.998616	2.21747	4429.87	13443.5	2822.75	313.153	36.9585	141913	387.497	2.27026	0.0981381	6.01422	-0.44	-0.125879
209.751	148.206	27.2105	3.41707	1.05225	177.206	-6.35709	-2.06214	0.0719686	36.5893	6570.37	-1.11978	3.27276	0.0408963	-2.72918	-9.0858	-2.62221	-6.74644	-8.27894	-3.36242	-0.0950405	16.5485	15.5227	25.985	10354.2	3650.76	1.04661	2.44643	4517.36	14737	2662.12	288.382	30.9229	113692	325.049	1.43901	0.0796813	5.78436	-0.44	-0.124372
