I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	175.169	-6.3939	-1.71671	0.0700642	35.6683	5137.09	0.110168	3.11925	0.0372622	2.44533	-11.0133	3.37102	-3.12199	-9.01307	-1.71883	0.120007	14.1542	13.2595	31.0707	10089.4	5382.22	0.629073	2.27159	6706.86	11545.8	2570.35	368.767	32.6093	129.833	22.8464	1.17597	0.0872317	5.88971	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	175.197	-6.44526	-1.74047	0.0731689	33.068	5189.87	0.219275	3.08304	0.0395816	2.02959	-6.92881	3.50742	-3.03739	-9.52143	-1.6011	0.11606	13.8086	12.9374	29.7676	10120.9	5262.27	0.578211	2.117	6567.6	12597.4	2275.53	371.32	32.1911	119.697	19.4288	1.07453	0.0758384	5.71675	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	175.225	-6.50327	-1.76547	0.07668	30.83	5244.65	0.355439	3.03891	0.0421867	1.35751	-2.3137	3.56091	-2.91856	-10.1034	-1.41219	0.109767	13.5362	12.6837	28.6714	10121	5114.59	0.542941	1.99891	6430.59	13378.9	2135.41	346.721	33.6909	108.237	17.4546	0.930296	0.0676552	5.5464	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	175.253	-6.56248	-1.79056	0.0802779	28.5826	5300.12	0.494643	2.99203	0.0448291	0.703691	2.32772	3.62385	-2.80288	-10.6974	-1.21729	0.103527	13.2767	12.442	27.6263	10115.3	4966.32	0.509323	1.88695	6299.11	14174.7	1986.13	324.102	34.8717	97.5343	15.3913	0.795657	0.0593934	5.37538	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	175.282	-6.62903	-1.81675	0.0844434	26.3253	5355.42	0.644853	2.9284	0.047721	0.156761	7.08529	3.75844	-2.68556	-11.3945	-1.00681	0.0987705	13.0911	12.2696	26.8957	10066.8	4821.57	0.48512	1.81266	6204.33	14919.6	1759.82	317.848	34.9233	91.2739	12.56	0.735541	0.0526087	5.2018	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	175.31	-6.69809	-1.84293	0.0887591	24.1573	5412.15	0.79817	2.86122	0.0506692	-0.285954	11.3219	3.85714	-2.56853	-12.1064	-0.778468	0.093149	12.912	12.1031	26.1984	10013.3	4676.95	0.462118	1.742	6114.32	15558.4	1572.82	304.357	34.2953	84.7852	10.129	0.659486	0.0456741	5.02851	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	175.339	-6.77447	-1.86988	0.0935691	22.303	5466.8	0.946332	2.78488	0.0538294	-0.195896	13.8176	3.86505	-2.43328	-12.918	-0.528598	0.0862706	12.7478	11.9507	25.6062	9939.18	4540.04	0.442385	1.68277	6041.49	16363	1499.81	277.304	32.2771	79.0744	8.92526	0.563299	0.0398862	4.85802	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	175.366	-6.85505	-1.89654	0.0985873	20.5226	5523.15	1.09442	2.7094	0.0571518	-0.0594553	15.8914	3.83349	-2.31508	-13.7571	-0.269847	0.0787195	12.5871	11.8014	25.0261	9870.54	4403.25	0.423726	1.6254	5969.28	17312.3	1430.06	253.475	30.0178	73.9559	7.69051	0.484291	0.0345048	4.68965	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	175.395	-6.94281	-1.92361	0.104006	18.9229	5576.53	1.22735	2.63803	0.0608248	0.573408	17.06	3.75211	-2.20748	-14.6906	-0.0238997	0.0711675	12.4278	11.6534	24.461	9811.1	4270.35	0.406787	1.57091	5898.13	18883.1	1413.73	227.573	27.2789	70.2785	6.74065	0.416026	0.0298382	4.52699	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	175.424	-7.037	-1.95013	0.109816	17.4013	5631.12	1.35418	2.56483	0.0647445	0.96798	18.4347	3.60729	-2.12559	-15.6803	0.211833	0.0629427	12.2674	11.5043	23.8939	9748.97	4136.92	0.390595	1.51706	5825.79	20009.1	1392.95	202.898	24.6705	66.6512	5.77285	0.360435	0.0261503	4.36557	-0.446834	-0.1
