I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	180.961	-6.88204	-1.72316	0.100633	18.6444	5433.44	1.0905	2.80014	0.061104	-3.87356	18.4554	-3.19633	-3.95402	-12.4095	0.492788	-0.0578486	13.1179	12.2888	25.624	10127.6	3815.02	0.430682	1.73647	5848.44	20924.2	1930.88	177.386	22.9307	88.8068	6.13239	0.359606	0.0333986	4.63025	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	180.996	-6.97271	-1.74151	0.106455	16.9326	5471.33	1.19952	2.72232	0.0652862	-4.97553	21.5128	-4.16688	-3.82103	-13.6493	0.510731	-0.0701822	13.0056	12.1851	25.1192	10034.2	3717.69	0.41569	1.69063	5771.3	22484.7	1900.2	146.835	22.9334	83.9273	5.48412	0.288517	0.0367575	4.45304	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	181.031	-7.07778	-1.76114	0.113206	15.4895	5503.89	1.29182	2.63637	0.0699723	-5.94959	23.6635	-5.3411	-3.6724	-15.0976	0.480816	-0.0808934	12.8759	12.0649	24.5529	9933.01	3618.16	0.401755	1.64083	5684.17	22807.1	1865.64	125.713	22.9609	76.4113	4.79333	0.256605	0.0448511	4.2815	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	181.067	-7.18481	-1.78084	0.120063	14.0781	5536.14	1.38255	2.55089	0.0747393	-6.93242	25.785	-6.53294	-3.5199	-16.5625	0.44644	-0.0914637	12.746	11.9447	23.9847	9833.32	3519.02	0.388071	1.59117	5596.27	23049.5	1853.87	106.282	22.7708	68.8768	4.14895	0.22696	0.052387	4.11107	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	181.102	-7.30625	-1.80235	0.127722	12.9256	5562.3	1.45016	2.46843	0.0801027	-8.20408	27.6433	-7.92236	-3.3682	-18.2144	0.355884	-0.100668	12.6108	11.8194	23.4006	9748.91	3422.95	0.376205	1.54223	5503.89	22190.2	2029.92	99.8783	21.1905	59.8865	3.84943	0.215299	0.0561025	3.95065	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	181.137	-7.43165	-1.82396	0.135642	11.8048	5588.19	1.51548	2.38481	0.0856019	-9.52589	29.7584	-9.33919	-3.22448	-19.9003	0.251049	-0.10967	12.4736	11.6922	22.8079	9663.48	3326.81	0.364608	1.49301	5409.69	21541.9	2213.5	95.2797	19.5888	52.2102	3.59121	0.200914	0.0591634	3.79099	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	181.173	-7.57238	-1.84796	0.144564	10.8576	5607.96	1.55399	2.29718	0.0916096	-11.3999	32.8386	-10.9259	-3.13609	-21.8113	0.0716457	-0.11707	12.3264	11.5556	22.1959	9584.74	3232.79	0.354144	1.44382	5311.96	21669.7	2355.77	100.079	17.8138	49.3628	3.39341	0.180921	0.0593293	3.63762	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	181.208	-7.71945	-1.87204	0.153933	9.93789	5627.2	1.58845	2.20766	0.0977871	-13.298	36.0134	-12.5196	-3.05717	-23.7496	-0.113422	-0.123764	12.1745	11.4146	21.5731	9499.51	3139.28	0.343969	1.39413	5212.72	21382.4	2470.29	107.153	15.9176	46.4343	3.22371	0.164624	0.0586684	3.48566	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	181.244	-7.88138	-1.89834	0.164348	9.12459	5641.25	1.59671	2.11352	0.104335	-15.3234	39.5735	-14.1167	-3.02197	-25.8407	-0.329947	-0.127557	12.012	11.2635	20.9453	9406.47	3049.78	0.334492	1.34496	5114.01	20739.4	2450.61	122.4	13.7803	45.197	3.065	0.157356	0.0559903	3.33932	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	181.279	-8.05264	-1.92477	0.175422	8.37653	5654.08	1.59739	2.01818	0.111064	-17.3672	42.9557	-15.7489	-2.98316	-27.9668	-0.536575	-0.131235	11.8406	11.1041	20.3132	9303.41	2963.46	0.325083	1.29526	5017.09	19932.3	2415.16	132.293	11.776	44.5048	2.95697	0.150882	0.052731	3.19613	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	181.316	-8.23719	-1.9531	0.187449	7.72966	5663.12	1.57608	1.92092	0.118044	-19.1146	46.1215	-17.3257	-2.95923	-30.2055	-0.742333	-0.133057	11.6564	10.9326	19.6908	9188.33	2883.82	0.315652	1.24588	4926.2	18802.2	2348.01	135.778	9.94455	44.7121	2.94329	0.145951	0.0485597	3.05845	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	181.351	-8.43292	-1.98064	0.200325	7.16238	5670	1.54335	1.82467	0.125196	-20.7433	48.8247	-18.8519	-2.87109	-32.3935	-0.869927	-0.134483	11.4655	10.7549	19.0914	9061.9	2811.5	0.3062	1.19743	4843.37	17543	2254.85	141.695	8.30989	45.1201	2.96258	0.154041	0.0415379	2.92626	-0.446131	-0.1
209.15	145.877	27.1854	3.36227	0.842915	181.387	-8.63861	-2.00912	0.213952	6.66982	5674.33	1.49384	1.72949	0.132509	-21.8113	51.05	-20.203	-2.74899	-34.588	-0.944616	-0.134285	11.2669	10.5698	18.5205	8926.78	2747.08	0.296514	1.15007	4770.32	16144.6	2145.82	146.773	6.87013	45.9138	3.0312	0.171195	0.0323296	2.79944	-0.445779	-0.1
208.62	145.885	27.1632	3.36243	0.843552	181.423	-8.855	-2.03546	0.22847	6.26553	5675.5	1.43064	1.63903	0.139956	-22.663	52.701	-21.4083	-2.53324	-36.6299	-0.926057	-0.133816	11.078	10.3938	18.0046	8784.1	2691.37	0.28747	1.10697	4706.92	14852.2	2041.6	140.342	7.05171	46.6934	3.12429	0.174444	0.0260434	2.68097	-0.445427	-0.1
208.089	145.892	27.1411	3.3626	0.844203	181.459	-9.07728	-2.06215	0.243463	5.90937	5675.21	1.35661	1.55118	0.147494	-23.0093	53.9502	-22.4008	-2.28905	-38.6205	-0.86917	-0.132221	10.8915	10.2201	17.5207	8638.39	2641.13	0.278555	1.06599	4650.48	13614.5	1942.17	128.895	8.04195	47.6219	3.23651	0.172788	0.0209328	2.5671	-0.445075	-0.1
