I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	178.538	-5.61247	-1.82151	0.0385802	90.03	4873.51	-0.202037	2.85776	0.0126262	2.40381	0.269224	5.8472	-6.09633	0.193505	-2.31185	0.526182	6.97954	6.52947	8.3518	11627.2	1566.89	0.501912	0.439846	3289.05	41439.3	7003.6	1227.79	147.471	555.934	57.3368	5.69752	0.421252	8.75946	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	178.669	-5.64685	-1.81536	0.0394528	87.6795	4886.35	-0.211252	2.83183	0.0129869	2.49357	0.329962	6.00922	-6.23753	0.246421	-2.45866	0.526713	7.106	6.64892	8.32664	11581.2	1568.57	0.502909	0.46083	3207.74	41086.5	6833.26	1190.14	136.748	536.704	55.9681	5.53172	0.38766	8.62947	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	178.8	-5.68194	-1.8093	0.0403639	85.3224	4899.15	-0.224092	2.80527	0.0133644	2.52493	0.613991	6.17635	-6.38703	0.299695	-2.61948	0.526855	7.23203	6.768	8.30122	11528	1569.18	0.505091	0.482909	3129.73	39352.6	6596.44	1189.15	136.267	492.384	54.0998	5.62095	0.387493	8.49871	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	178.931	-5.71782	-1.80345	0.0413253	82.9651	4911.76	-0.242797	2.77633	0.013755	2.46729	1.27674	6.35529	-6.54674	0.358798	-2.7959	0.527104	7.35776	6.88685	8.27691	11463.5	1568.06	0.508942	0.506371	3055.92	38013.7	6394.08	1133.17	123.986	457.445	52.0355	5.30144	0.346137	8.36698	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	179	-5.75312	-1.79728	0.042292	80.6904	4921.33	-0.265897	2.74526	0.0141348	2.33249	2.30438	6.54068	-6.71265	0.418007	-2.97854	0.527594	7.47002	6.99309	8.24465	11390.7	1565.22	0.514005	0.528751	2987.49	36010	6433.15	1071.95	120.168	418.731	51.9772	4.95768	0.333823	8.23916	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	179	-5.78775	-1.79064	0.0432599	78.4926	4927.55	-0.293363	2.71099	0.0144948	2.13917	3.66625	6.73546	-6.88812	0.478221	-3.16859	0.528403	7.57124	7.08898	8.20765	11308.6	1560.78	0.520053	0.550261	2924.28	34170.7	6498.4	1014.32	120.244	386.839	52.0826	4.62386	0.334696	8.11566	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	179	-5.8231	-1.78413	0.0442737	76.2697	4933.57	-0.326199	2.67088	0.0148426	1.87349	5.36513	6.93998	-7.08241	0.538602	-3.37406	0.529087	7.67055	7.18309	8.16993	11212.2	1554.59	0.527175	0.57248	2863.54	32869.1	6314.75	980.062	109.815	363.25	49.9334	4.36607	0.299093	7.99105	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	179	-5.85941	-1.7777	0.0453554	73.9447	4939.58	-0.365684	2.62171	0.0151652	1.6779	6.67595	7.16544	-7.30858	0.598928	-3.60151	0.529476	7.76534	7.27302	8.13039	11096.3	1546.11	0.535303	0.595099	2805.99	32555.7	6089.37	968.832	111.525	359.839	47.7228	4.27761	0.302835	7.86413	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	179	-5.89646	-1.77136	0.046492	71.578	4945.74	-0.40978	2.56834	0.0154825	1.72773	6.82044	7.40563	-7.56064	0.659373	-3.84579	0.529735	7.85582	7.35893	8.08977	10972.6	1536.36	0.543848	0.617709	2751.09	31444.4	5916.98	929.668	111.655	347.097	46.0732	4.02479	0.301387	7.73525	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	179	-5.93443	-1.76511	0.0476949	69.1803	4952.27	-0.459217	2.51438	0.0158186	2.21885	4.93221	7.66152	-7.84756	0.718299	-4.11157	0.529765	7.94089	7.43979	8.04865	10849.6	1525.5	0.552658	0.640116	2699.57	29577.2	5795.89	872.144	102.731	326.213	45.0812	3.65436	0.271096	7.60408	-0.44	-0.136432
