I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	176.169	-6.48307	-1.72973	0.0750806	31.5944	5022.06	0.284036	3.06011	0.0410292	2.64116	-4.57254	2.40669	-3.18877	-9.54546	-0.948092	0.0762242	13.4441	12.5944	28.6091	10227.3	5052.79	0.53592	1.97961	6468	12887.8	2263.85	361.836	35.8141	143.777	17.4984	0.973517	0.0748301	5.62454	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	176.197	-6.5395	-1.75188	0.078448	29.3833	5071.1	0.398279	3.0327	0.0437286	1.80744	-0.00417424	2.321	-3.10312	-10.1533	-0.782192	0.0682132	13.2742	12.4367	27.9092	10232.7	4925.7	0.510718	1.90538	6377.51	14201.2	2040.24	363.96	37.2217	148.669	14.8082	0.893848	0.0664987	5.45741	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	176.225	-6.60372	-1.77509	0.0824178	27.1448	5121.13	0.525689	2.98067	0.0466596	0.965417	4.95352	2.25607	-3.00007	-10.8954	-0.605144	0.0613714	13.1306	12.3036	27.3346	10193.9	4793.85	0.489813	1.84652	6302.49	14793.2	1915.08	336.082	35.3596	140.691	12.9791	0.759964	0.0564554	5.28656	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	176.253	-6.66928	-1.79838	0.0864795	24.9407	5171.67	0.654573	2.92582	0.0496222	0.179194	9.65433	2.17863	-2.89676	-11.6478	-0.422813	0.0543966	12.9873	12.1708	26.7639	10150.8	4661.59	0.469171	1.7882	6228.08	15373.5	1787.83	309.761	33.5996	132.229	11.133	0.636162	0.0471747	5.11537	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	176.282	-6.7432	-1.8227	0.0911548	22.9923	5221.25	0.783016	2.85393	0.0528185	-0.158234	12.566	2.05857	-2.77685	-12.5002	-0.223636	0.0475226	12.8489	12.0426	26.2343	10077.1	4528.92	0.450728	1.73532	6159.63	15551.6	1656.7	284.185	31.2879	118.814	9.07151	0.553395	0.0414204	4.9438	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	176.31	-6.81975	-1.84686	0.0959612	21.1074	5271.94	0.912521	2.78239	0.0561189	-0.484497	15.218	1.88476	-2.65944	-13.3836	-0.0214229	0.0399816	12.7129	11.9165	25.7094	10006.9	4396.79	0.43284	1.68335	6090.79	16193.4	1554.78	261.703	29.2701	108.334	7.34011	0.484013	0.0363087	4.77368	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	176.339	-6.90444	-1.87155	0.101224	19.4713	5320.13	1.0315	2.71381	0.0598105	-0.548085	16.8505	1.5923	-2.53537	-14.4131	0.167251	0.0313671	12.583	11.7961	25.2071	9947.2	4268.52	0.417076	1.63534	6022.62	17988.1	1497.74	248.215	28.9879	103.578	6.30743	0.45766	0.0346373	4.61014	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	176.366	-6.99389	-1.8961	0.106786	17.88	5369.56	1.14887	2.64185	0.063657	-0.714925	18.6639	1.25674	-2.42412	-15.4844	0.347747	0.0227907	12.4497	11.6726	24.6888	9881.48	4139.27	0.401538	1.58638	5951.19	19377.8	1453.14	226.998	26.9323	97.8664	5.38168	0.416171	0.0311383	4.44673	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	176.395	-7.09194	-1.92151	0.112921	16.4253	5415.89	1.25076	2.5661	0.0678501	-0.907309	20.7333	0.871133	-2.32627	-16.6957	0.4884	0.014685	12.3075	11.5406	24.1461	9806.18	4010.46	0.386679	1.5363	5875.83	19863.6	1462.99	198.599	22.1345	89.0899	4.8826	0.364152	0.0249594	4.28601	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	176.424	-7.19695	-1.9466	0.119489	15.0649	5462.92	1.34634	2.48923	0.0723184	-1.27773	22.7139	0.380842	-2.24991	-17.9729	0.610676	0.00622333	12.1605	11.4041	23.5848	9728.63	3882.51	0.372244	1.48538	5796.61	20381.3	1492.78	167.718	18.7028	81.9686	4.36361	0.319431	0.0209893	4.12702	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	176.452	-7.31001	-1.97239	0.126577	13.8392	5506.99	1.42592	2.41203	0.0771426	-1.69752	24.6556	-0.194771	-2.19434	-19.3827	0.689962	-0.00229394	12.0037	11.2584	23.0019	9648.7	3756.71	0.358317	1.4334	5714.54	20817.1	1565.21	131.039	16.7049	76.4298	3.93264	0.274945	0.0192653	3.97149	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	176.481	-7.43276	-1.99788	0.134365	12.6933	5550.73	1.49422	2.33202	0.0823534	-2.41506	27.029	-0.841653	-2.17803	-20.8645	0.733659	-0.0101281	11.842	11.1081	22.4043	9563.73	3633.39	0.344927	1.3813	5628.96	21028.7	1762.56	107.771	14.22	71.4938	3.72473	0.254196	0.0172638	3.81776	-0.446131	-0.1
209.15	145.877	27.1854	3.36227	0.842915	176.51	-7.56279	-2.02419	0.142691	11.6163	5591.83	1.54848	2.25032	0.0878804	-3.16042	29.7554	-1.49081	-2.18808	-22.4358	0.736195	-0.0170283	11.6721	10.9499	21.7946	9476.03	3512.64	0.331805	1.32877	5542.47	21074.8	2061.89	93.3134	11.6092	67.2974	3.65818	0.249941	0.015251	3.66597	-0.445779	-0.1
208.62	145.885	27.1632	3.36243	0.843552	176.538	-7.70546	-2.04984	0.151921	10.6612	5631.36	1.58805	2.16479	0.0937586	-4.26667	32.988	-2.22483	-2.21796	-24.0449	0.732712	-0.0231764	11.5006	10.7903	21.1932	9386.65	3399.12	0.319538	1.27805	5456.67	20755.1	2206.02	94.1312	9.82043	62.0905	3.52656	0.229218	0.0144831	3.51862	-0.445427	-0.1
208.089	145.892	27.1411	3.3626	0.844203	176.567	-7.85402	-2.0762	0.161583	9.76123	5668.79	1.61745	2.0774	0.0998166	-5.38596	36.4761	-2.93393	-2.25755	-25.6904	0.714005	-0.0285039	11.3245	10.6264	20.5965	9296.99	3289.63	0.307491	1.22791	5373.14	20206.3	2314.07	102.715	8.23345	56.429	3.41281	0.20402	0.0140355	3.37332	-0.445075	-0.1
207.559	145.899	27.119	3.36277	0.844844	176.596	-8.01697	-2.1013	0.172329	9.01175	5703.23	1.63112	1.98679	0.1061	-6.7318	39.9105	-3.73231	-2.33418	-27.31	0.696581	-0.0331643	11.1447	10.4589	20.0285	9197.61	3193.21	0.296112	1.1803	5297.35	19333.8	2365.15	123.537	7.87134	51.9028	3.34395	0.189864	0.0152789	3.23553	-0.444724	-0.1
207.028	145.906	27.0968	3.36294	0.845493	176.624	-8.18346	-2.12676	0.183347	8.29487	5736.45	1.63956	1.89518	0.112447	-8.08021	43.3418	-4.51009	-2.4225	-28.9361	0.671279	-0.037407	10.9622	10.2888	19.4685	9096.27	3100.24	0.284786	1.13317	5224.61	18399.2	2387.79	146.701	7.78854	47.6137	3.2696	0.176403	0.0169285	3.09934	-0.444372	-0.1
206.498	145.913	27.0747	3.36311	0.84614	176.653	-8.3656	-2.1505	0.195533	7.73754	5765.6	1.63434	1.80422	0.118877	-9.3004	45.8942	-5.19107	-2.52429	-30.2922	0.720468	-0.0398832	10.7753	10.1146	18.9606	8976.76	3025.45	0.273928	1.08931	5167.23	17001.3	2310.77	155.855	8.0732	43.1821	3.19014	0.178056	0.0181189	2.97422	-0.44402	-0.1
205.967	145.921	27.0526	3.36328	0.846788	176.682	-8.54933	-2.17396	0.207842	7.19827	5794.22	1.62771	1.71365	0.125308	-10.4931	48.3226	-5.86339	-2.63135	-31.6178	0.776535	-0.0422023	10.5881	9.94006	18.4596	8855.55	2952.89	0.263121	1.04588	5111.85	15622.3	2218.24	163.737	8.37706	38.9962	3.10132	0.180983	0.0192857	2.85059	-0.443668	-0.1
