I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	179	-5.6518	-1.94753	0.0409769	83.5155	6550.3	-0.498464	2.72431	0.0133069	-3.06015	5.0104	1.93841	-5.36488	-1.99366	-1.55589	0.161946	7.76267	7.2621	8.88095	11108.2	1615.28	0.551703	0.557824	3118.68	31177.7	6562.77	965.085	126.714	355.683	66.0697	3.67554	0.341772	8.41479	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	179	-5.68848	-1.94889	0.0420672	80.8309	6585.01	-0.622929	2.67602	0.0136556	-3.6336	6.85704	1.86724	-5.40999	-2.12275	-1.6474	0.15098	7.93412	7.42377	8.8916	11008.7	1610.57	0.560406	0.59026	3042.69	29910.8	6374.33	916.554	118.794	330.21	62.6551	3.36585	0.318466	8.26837	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	179	-5.72629	-1.95095	0.0432335	78.1101	6620.56	-0.78433	2.61846	0.0139866	-4.32697	9.00915	1.78157	-5.4719	-2.27219	-1.74835	0.139163	8.09476	7.57538	8.90782	10895.2	1608.27	0.569037	0.622035	2977.28	28631.9	6198.78	868.148	119.757	300.568	58.8645	3.14195	0.32334	8.11841	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	179	-5.76571	-1.95387	0.0445079	75.3315	6656.77	-0.981409	2.54934	0.0142892	-5.04613	10.9825	1.67318	-5.55143	-2.44861	-1.85771	0.126146	8.25709	7.72863	8.94915	10756	1609.43	0.577598	0.654707	2924.12	27357	6026.88	844.769	107.726	264.921	55.9188	3.05377	0.289833	7.96364	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	179	-5.80504	-1.95687	0.0458285	72.5843	6690.9	-1.19054	2.47973	0.0145916	-5.53684	11.8453	1.5591	-5.64591	-2.64327	-1.97755	0.113311	8.44604	7.90679	9.05886	10600.3	1630.31	0.587776	0.690909	2887.48	26012.6	5879.58	806.647	106.382	226.65	55.1423	2.93655	0.288599	7.8103	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	179	-5.84419	-1.95999	0.0472055	69.7515	6723.47	-1.40141	2.43384	0.0150581	-5.46871	10.3899	1.44506	-5.76283	-2.86379	-2.11503	0.100876	8.89768	8.33097	9.7854	10435	1823.75	0.609106	0.762797	2955.67	24482.7	5692.87	765.212	106.272	260.078	56.2958	2.8143	0.289739	7.65751	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	179	-5.88492	-1.9641	0.0487224	66.5947	6757.24	-1.60091	2.42984	0.0158473	-4.32116	4.8406	1.32093	-5.91301	-3.1168	-2.27672	0.0880346	9.81577	9.19202	11.5721	10258.7	2335.73	0.648782	0.895477	3202.28	23300.4	5366.19	732.02	96.6697	512.103	59.1153	2.71793	0.259975	7.49739	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	179	-5.92811	-1.9699	0.0504456	63.3016	6794.33	-1.75818	2.53692	0.01756	-2.03769	-4.4905	1.16017	-6.08878	-3.42406	-2.47515	0.0736771	11.415	10.6914	15.5164	10160.3	3164.31	0.725274	1.17964	3760.5	21249.9	5147.31	689.544	89.452	1680.8	65.813	2.58016	0.24144	7.32707	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	179	-5.97331	-1.97712	0.0523412	59.8948	6833.9	-1.8674	2.6924	0.0198203	0.169006	-13.2958	0.97067	-6.28629	-3.77519	-2.70313	0.0583879	13.0611	12.235	20.0682	10118.9	3921.72	0.816369	1.53833	4370.99	19460.1	4846.26	631.929	84.8646	3337.18	70.3454	2.38434	0.232727	7.14896	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	179	-6.02107	-1.98617	0.0544574	56.3421	6876.7	-1.90751	2.86809	0.022532	1.68585	-19.3412	0.740497	-6.51315	-4.18726	-2.97107	0.0417891	14.5049	13.5896	24.42	10126.4	4426.32	0.912295	1.94006	4889.79	17151.2	4523.59	542.77	76.6701	4895.16	69.9703	2.05691	0.214019	6.96129	-0.44	-0.136432
