I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	185	-5.78907	-2.01118	0.0470699	66.1785	5519.97	-0.812205	3.01674	0.0185712	-3.58871	10.2607	2.11996	-5.15231	-4.03084	-1.71651	0.140553	17.0109	15.914	33.4324	10227.6	4525.89	1.22315	2.94076	5914.03	22674.4	5847.59	743.288	97.0015	278.463	57.279	2.72601	0.226401	7.67367	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	185	-5.83616	-2.01742	0.0489185	62.5696	5561.67	-0.734754	2.99233	0.0196463	-0.336522	0.249505	2.08709	-5.17657	-4.35108	-1.83598	0.13078	17.9963	16.8387	33.6771	10053.4	4416.53	1.3078	3.16154	5578.76	21035.6	5470.29	682.747	86.6038	275.481	53.5193	2.54528	0.205746	7.47838	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	185	-5.8858	-2.025	0.0509585	58.9138	5603.77	-0.628366	3.00497	0.0211181	4.28894	-13.538	2.05649	-5.16301	-4.71377	-1.96085	0.121334	18.6627	17.4652	32.8753	9993.15	4215.58	1.37628	3.26357	5190.87	18188	5250.5	619.929	75.0555	248.436	51.6236	2.36199	0.184518	7.27647	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	185	-5.93881	-2.03414	0.0532773	55.1287	5645.8	-0.491151	3.05937	0.0231679	7.06597	-21.8218	2.02486	-5.10939	-5.14164	-2.09303	0.111699	18.966	17.7521	31.7336	10027.6	4005.37	1.41679	3.27819	4879.34	16840.8	4801.17	554.38	67.089	237.31	46.8853	2.1739	0.170535	7.06546	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	184.875	-5.99304	-2.04384	0.0557718	51.3442	5684.27	-0.339379	3.1095	0.0254168	8.3781	-25.2355	2.01563	-5.01291	-5.60488	-2.21642	0.103474	18.9479	17.7381	30.5961	10069	3826.51	1.41986	3.2217	4674.81	14886.3	4362.35	473.926	59.7711	211.34	41.9893	1.91112	0.15612	6.85407	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	184.612	-6.0485	-2.05396	0.0584501	47.6241	5718.19	-0.182253	3.14502	0.0277893	8.66394	-25.2757	2.02723	-4.87987	-6.1103	-2.32207	0.0966199	18.6439	17.4563	29.6046	10103	3695.64	1.37835	3.10247	4583.72	12959.8	3910.28	401.269	52.9617	184.008	36.8734	1.65584	0.142113	6.64331	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	184.348	-6.10755	-2.06573	0.0614719	43.7961	5751.41	-0.0121018	3.16516	0.0304097	8.43424	-23.6093	2.04731	-4.73094	-6.69828	-2.42658	0.0897165	18.1779	17.0227	28.6243	10127.6	3572.43	1.30819	2.94318	4539.64	12062.7	3376.36	373.364	42.8115	175.09	31.0635	1.54905	0.118867	6.4228	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	184.084	-6.17229	-2.07956	0.0649383	40.2151	5783.06	0.16257	3.16213	0.0332974	7.53999	-20.3487	2.03481	-4.52148	-7.38816	-2.48642	0.0819112	17.4689	16.3613	27.4395	10149	3459.05	1.20256	2.72001	4527.74	11535.3	2970.8	359.371	37.3532	160.156	26.4821	1.35791	0.107125	6.19495	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	183.819	-6.24172	-2.09479	0.0687615	36.6606	5813.66	0.337751	3.14505	0.036419	6.17313	-15.7396	2.03043	-4.28151	-8.16508	-2.51348	0.0744518	16.6394	15.5869	26.1429	10163.6	3354.88	1.08245	2.47034	4530.69	11717.4	2639.44	357.224	33.8601	146.212	22.5675	1.17559	0.0927595	5.96276	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	183.554	-6.31708	-2.11162	0.0730672	33.0342	5843.05	0.511406	3.11023	0.0398394	4.26777	-9.50749	2.07211	-4.01663	-9.04887	-2.50229	0.0684616	15.7376	14.7445	24.8391	10156.5	3272.63	0.954209	2.21318	4556.84	12220.6	2412.93	335.253	34.2488	133.84	19.4096	0.942405	0.0773642	5.72383	-0.44	-0.136432
214.345	149.144	27.4025	3.43914	1.13653	183.288	-6.4021	-2.13079	0.0782262	29.5125	5870.93	0.677181	3.04638	0.0437196	1.94567	-2.544	2.15131	-3.70547	-10.105	-2.42389	0.0633626	14.9632	14.0211	24.0284	10085.9	3240.83	0.837237	2.01278	4649.99	14078.9	2105.74	334.59	35.5338	135.25	15.5656	0.826768	0.0652283	5.47388	-0.44	-0.134925
213.644	149.011	27.3732	3.436	1.12456	183.021	-6.49457	-2.1513	0.0838654	26.2752	5897.58	0.833066	2.97071	0.0478707	-0.242505	3.82008	2.19795	-3.36129	-11.2607	-2.28741	0.0577441	14.3015	13.4032	23.5757	9986.97	3248.65	0.729647	1.85337	4790.23	15715.5	1841.54	329.572	36.298	136.519	12.242	0.727906	0.055462	5.22503	-0.44	-0.133417
212.992	148.877	27.3459	3.43286	1.11256	182.877	-6.58708	-2.16959	0.0894409	23.6105	5918.08	0.961027	2.89446	0.0519283	-2.3238	8.77441	2.18418	-3.02948	-12.4051	-2.08631	0.0515934	13.7927	12.9283	23.4996	9880.24	3342	0.641889	1.75325	4984.46	16493	1670.37	320.132	36.0332	132.36	10.0252	0.650406	0.0482865	5.00073	-0.44	-0.13191
212.344	148.744	27.3188	3.42972	1.10055	182.744	-6.69253	-2.18892	0.0959117	21.114	5936.66	1.06743	2.80151	0.056441	-3.5635	12.1704	2.22599	-2.71874	-13.7543	-1.8574	0.0469694	13.3571	12.5218	23.3983	9766.88	3424.85	0.569682	1.67126	5152.12	17131.4	1673.98	278.365	31.9024	118.011	8.48374	0.53059	0.0403495	4.77832	-0.44	-0.130402
