I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	164.714	-6.04863	-1.56287	0.0508787	62.4541	5850.49	-2.50697	2.65273	0.0186143	-2.06856	-12.0333	0.0195935	-5.85824	-3.49783	-2.07574	0.00154442	10.3047	9.65347	11.51	10516.2	2045.16	0.725664	1.01462	3011.01	22756.7	5163.85	757.534	92.0338	378.018	35.5705	3.15205	0.199562	7.28539	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	164.791	-6.07746	-1.58182	0.0522036	60.1531	5891.23	-2.67796	2.72849	0.0199592	-1.59059	-15.1935	-0.147267	-5.90802	-3.76181	-2.17341	-0.00884836	11.1037	10.4032	13.0444	10495.6	2438.96	0.766019	1.14226	3200.57	21817.8	4906.69	710.951	95.5358	1389.99	35.9455	4.19258	0.212382	7.15938	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	164.869	-6.10888	-1.60282	0.0537484	57.6705	5934.13	-2.73362	2.88793	0.0222338	-1.248	-17.0018	-0.344619	-5.99969	-4.09109	-2.30869	-0.0194465	12.5635	11.7724	16.7263	10490.3	3123.61	0.842633	1.43319	3670.27	19561.1	4723.42	629.182	89.6934	31738.8	50.3221	4.53314	0.201271	7.02424	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	164.946	-6.14086	-1.62432	0.0553401	55.1456	5977.65	-2.76071	3.04384	0.0245584	-0.936844	-18.5869	-0.548786	-6.09708	-4.43553	-2.45155	-0.0301294	13.9908	13.1113	20.3833	10484.6	3740.73	0.9218	1.73882	4120.09	17481.7	4515.26	555.305	82.8693	62770	66.9122	4.82058	0.187796	6.88713	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	165.025	-6.17572	-1.64809	0.0571946	52.4242	6023.73	-2.66468	3.17971	0.0271425	-0.891748	-18.8655	-0.78445	-6.23567	-4.86165	-2.63691	-0.040575	15.1717	14.2197	23.8039	10479	4045.14	1.00139	2.07858	4489.53	16508.5	4155.41	529.289	70.0086	100908	96.5731	4.77545	0.159023	6.73982	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	165.102	-6.21195	-1.67305	0.0591667	49.6304	6071.23	-2.50587	3.29997	0.029775	-0.890846	-18.6864	-1.03337	-6.37899	-5.32278	-2.83572	-0.0509796	16.3349	15.3117	26.8241	10471.2	4226.88	1.08786	2.43049	4758.83	15343.8	3833.29	493.478	58.9798	127995	133.527	4.51553	0.136142	6.58815	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	165.181	-6.25117	-1.7002	0.061415	46.7537	6121.33	-2.2535	3.38177	0.0324807	-1.12136	-17.3343	-1.29959	-6.53887	-5.86027	-3.06404	-0.0601432	17.2893	16.2082	29.0725	10456.1	4201.5	1.16201	2.74786	4894.94	13607.1	3624.77	429.523	52.9828	126829	193.297	3.54375	0.128919	6.42805	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	165.258	-6.29297	-1.72948	0.0639043	43.758	6173.55	-1.91922	3.43554	0.0352372	-1.42187	-15.406	-1.59567	-6.70435	-6.47436	-3.31621	-0.069245	18.2003	17.0643	30.4406	10436.1	4060.45	1.24453	3.03782	4879.74	12722.9	3324.19	375.937	46.3694	121084	232.261	2.76414	0.117867	6.26015	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	165.337	-6.33767	-1.76075	0.0666874	40.7096	6228.06	-1.53195	3.45866	0.0380758	-1.97096	-12.6968	-1.92276	-6.87903	-7.18511	-3.60178	-0.0775731	19.0252	17.8398	31.2383	10407.9	3820.24	1.31741	3.28785	4770.54	13098	2871.02	340.733	38.8176	107262	239.69	2.22513	0.100398	6.08524	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	165.415	-6.3866	-1.79516	0.0698543	37.7367	6284.99	-1.07487	3.44428	0.0409488	-2.604	-9.55668	-2.30821	-7.01387	-8.00214	-3.87699	-0.0862327	19.5256	18.3112	30.7772	10370.9	3529.41	1.38236	3.42322	4550.1	13740.5	2656.02	310.097	33.5019	92184.3	234.371	1.7048	0.0862986	5.90143	-0.446834	-0.1
