I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	171.13	-6.13857	-1.62464	0.0555297	54.0705	6258.35	-2.02314	3.38269	0.0274551	0.697386	-20.2597	1.88308	-6.62276	-5.30511	-3.99796	0.101914	20.3562	19.0697	34.1463	10204.1	4038.94	1.57409	3.80169	4904.29	16786.4	4414.92	534.564	69.5159	2598.75	54.5122	2.02406	0.188565	6.87389	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	171.193	-6.17365	-1.64666	0.0573193	51.427	6316.19	-1.83225	3.43012	0.0293173	0.765159	-21.4478	1.84293	-6.68437	-5.71301	-4.23237	0.0947803	21.0326	19.7056	33.5463	10197.9	3831.46	1.66499	3.96497	4608.57	14830.4	4137.07	463.57	63.6977	3965.05	49.7514	1.81263	0.180167	6.72689	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	171.257	-6.21284	-1.67149	0.0594572	48.6085	6377.18	-1.56921	3.41932	0.0310779	0.586642	-20.8886	1.80748	-6.74354	-6.20469	-4.49378	0.0879606	20.8705	19.556	31.5454	10191.2	3593.73	1.68131	3.86305	4323.19	14042.4	3730.25	434.969	53.4495	5558.19	42.4415	1.76718	0.15554	6.56864	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	171.32	-6.25285	-1.69689	0.061667	45.7524	6438.74	-1.29882	3.40394	0.0328646	0.397911	-20.0611	1.78535	-6.79937	-6.7116	-4.75642	0.0815832	20.6056	19.3101	29.5316	10183.7	3370.89	1.68395	3.73393	4057.68	13240.9	3346.72	403.14	44.1929	6771.93	35.518	1.69745	0.133583	6.40813	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	171.384	-6.29734	-1.72506	0.0642943	42.7268	6503.16	-0.990966	3.3721	0.0349089	0.0468643	-17.7376	1.77936	-6.85764	-7.30618	-5.0367	0.0760632	19.9643	18.7114	27.4657	10173.8	3190.51	1.64515	3.51424	3864.03	12394.4	3112.5	352.188	40.8805	5421.91	30.671	1.47916	0.127168	6.23594	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	171.447	-6.34392	-1.75452	0.067112	39.676	6568.95	-0.680805	3.33207	0.0370368	-0.317284	-15.1394	1.80866	-6.90939	-7.93297	-5.30008	0.071435	19.2506	18.0446	25.6051	10159.1	3042.18	1.58366	3.27665	3716.44	11755.6	2928	317.843	37.6306	4170.24	26.2699	1.28151	0.118487	6.05851	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	171.512	-6.39533	-1.78661	0.0704444	36.5379	6636.81	-0.352484	3.27711	0.0394948	-0.922017	-11.8503	1.84182	-6.98492	-8.65973	-5.5521	0.0672844	18.4677	17.3128	23.9713	10131.3	2911.08	1.50811	3.03259	3610.36	11789.7	2899.08	333.914	34.6914	2851.03	22.9412	1.14524	0.103174	5.86873	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	171.575	-6.45046	-1.82034	0.0739845	33.6496	6707.03	-0.0348421	3.2155	0.0420367	-1.59716	-8.18855	1.87094	-7.03015	-9.40982	-5.72957	0.0627577	17.7094	16.6039	22.7483	10097	2822.57	1.41269	2.798	3571.73	12183.6	2882.81	337.711	32.886	1827.63	19.8394	0.99114	0.0880572	5.67882	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	171.64	-6.51055	-1.85593	0.0778542	31.1712	6778.24	0.293744	3.14414	0.0447549	-2.65326	-3.95928	1.76575	-7.06564	-10.225	-5.84481	0.0553223	16.966	15.9088	21.6113	10047.4	2728.14	1.31795	2.57392	3534.74	13241	2890.28	321.273	33.1781	1133.53	17.0298	0.807609	0.0733404	5.49014	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	171.703	-6.57616	-1.89304	0.0821125	28.6335	6852.41	0.600623	3.05787	0.0475265	-3.75765	0.615213	1.74621	-7.09614	-11.0963	-5.8675	0.0497004	16.2807	15.268	20.8716	9975.51	2670.55	1.21229	2.37333	3567.44	14491	2790.66	312.684	34.1415	694.188	14.3974	0.674673	0.0615502	5.29948	-0.446834	-0.1
