I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	176.545	-6.08682	-1.32648	0.0491485	65.5093	3822.58	-0.54178	2.56402	0.0169612	6.33703	-4.48548	9.72707	-8.73443	1.67032	-4.75598	0.636753	7.89017	7.39149	7.81007	10940.1	1493.51	0.554133	0.64588	2626.94	28835.7	5690.25	888.514	99.9684	302.274	44.6881	3.55539	0.249275	7.45433	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	176.595	-6.11126	-1.33369	0.0500853	63.8627	3858.48	-0.585026	2.55323	0.0174292	7.02754	-8.25543	9.93941	-9.00532	1.70904	-4.98476	0.634572	7.94822	7.44675	7.79451	10912.6	1486.38	0.560602	0.661315	2597.74	27542.1	5483.43	906.924	94.4399	295.741	43.7695	3.67752	0.232238	7.35986	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	176.644	-6.13672	-1.34122	0.0511162	62.0653	3896.09	-0.634023	2.55873	0.0180745	7.7595	-12.0653	10.1857	-9.32497	1.74327	-5.24289	0.631644	8.00055	7.49668	7.78528	10916	1479.2	0.566663	0.675478	2573.99	26274.2	5250.21	860.892	97.0418	289.459	42.5255	3.49369	0.239079	7.26191	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	176.693	-6.16242	-1.34878	0.0521677	60.2543	3934.02	-0.684339	2.5666	0.0187549	8.47133	-15.7519	10.439	-9.65325	1.77738	-5.50824	0.628604	8.05249	7.54625	7.77704	10922.6	1471.99	0.572651	0.689534	2550.87	24953.7	5029.11	816.101	98.8205	282.553	41.3869	3.32026	0.243879	7.16316	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	176.743	-6.1892	-1.35678	0.0533189	58.3764	3973.91	-0.74155	2.58573	0.0195992	9.10848	-18.8748	10.7126	-10.0192	1.80548	-5.80499	0.624807	8.10209	7.59364	7.77364	10945	1464.67	0.578204	0.702995	2531	23511.1	4918	779.345	93.0199	275.152	41.2248	3.20099	0.22923	7.06064	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	176.792	-6.21652	-1.36482	0.054516	56.481	4014.5	-0.802573	2.60823	0.0205161	9.68881	-21.6501	11.0005	-10.4041	1.83199	-6.12066	0.620692	8.15114	7.64052	7.77173	10968.8	1457.18	0.583759	0.716298	2512.02	22167.8	4767.82	742.36	88.2902	267.977	40.6766	3.08341	0.217577	6.95651	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	176.842	-6.24479	-1.37335	0.0558058	54.5508	4056.99	-0.871496	2.63726	0.0215701	10.1717	-23.7628	11.2956	-10.8202	1.84757	-6.46884	0.615642	8.19862	7.68594	7.77259	10996.1	1449.25	0.589291	0.729226	2495.01	21072.5	4496.79	705.842	83.4956	261.129	38.911	2.96316	0.205559	6.84937	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	176.891	-6.27397	-1.38199	0.0571759	52.5895	4100.57	-0.948216	2.66879	0.0227327	10.5676	-25.3206	11.6142	-11.264	1.85891	-6.85124	0.609968	8.24451	7.72988	7.77289	11018.8	1440.5	0.595081	0.741939	2478.5	19849.2	4289.94	660.309	78.6756	249.739	37.6916	2.78406	0.194218	6.73963	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	176.942	-6.30404	-1.39116	0.0586354	50.5948	4145.8	-1.03293	2.70314	0.024009	10.8662	-26.2714	11.9335	-11.7295	1.85753	-7.26583	0.603266	8.28814	7.7717	7.77156	11037.4	1430.6	0.60123	0.754421	2462.39	17759	4182.58	579.489	74.1317	223.277	37.182	2.38372	0.184406	6.62722	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	176.991	-6.33547	-1.40059	0.0602208	48.5547	4192.42	-1.12985	2.73713	0.0254242	11.0725	-26.629	12.2897	-12.2345	1.84885	-7.73215	0.59578	8.32858	7.81054	7.76598	11042.9	1418.95	0.608079	0.766641	2446	17058.1	3995.06	527.673	69.5477	208.757	36.0878	2.15114	0.174928	6.51105	-0.446834	-0.1
