I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	174.077	-5.56278	-1.80538	0.037038	94.4801	4570.08	-0.143154	2.88129	0.011893	0.443365	3.03756	3.6955	-4.12458	-1.59522	-0.657358	0.349148	6.76986	6.33331	8.41433	11703.3	1558.38	0.508273	0.407252	3440.37	44055.2	7440.25	1327.29	150.304	632.759	57.2762	5.99988	0.400995	9.00084	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	174.338	-5.59576	-1.79821	0.0378324	92.1587	4574.15	-0.146257	2.85134	0.0121933	0.491562	2.97908	3.72254	-4.14225	-1.65787	-0.681827	0.343064	6.88609	6.44316	8.38173	11663.5	1562.05	0.505915	0.424965	3355.58	43532.5	7263.24	1289.97	148.263	615.804	55.87	5.79035	0.394559	8.87406	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	174.6	-5.62943	-1.79104	0.0386592	89.8247	4577.81	-0.149241	2.822	0.0125109	0.529123	2.95149	3.75042	-4.16452	-1.72639	-0.708152	0.336896	7.0009	6.5517	8.34645	11623.9	1564.66	0.50448	0.443489	3273.51	41217.6	7230.79	1285.75	154.332	567.065	55.9118	5.82635	0.411348	8.74671	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	174.862	-5.66379	-1.78395	0.0395276	87.4931	4581.24	-0.152191	2.79317	0.0128497	0.555012	2.97785	3.78524	-4.19102	-1.79545	-0.735728	0.331159	7.11232	6.65712	8.30828	11582.9	1565.9	0.504071	0.462792	3195.49	39841.8	7020.92	1229.87	139.83	530.717	54.1467	5.48399	0.368167	8.61868	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	175.125	-5.69761	-1.77651	0.0403984	85.2397	4582.66	-0.155142	2.7655	0.0131928	0.563608	3.07258	3.82064	-4.22105	-1.86739	-0.764058	0.325634	7.21664	6.75588	8.26884	11540.6	1566.01	0.504396	0.481866	3122.94	40103.5	6814.01	1161.33	135.921	524.063	52.401	5.12564	0.358213	8.49453	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	175.388	-5.73075	-1.76857	0.0412671	83.0755	4581.76	-0.158215	2.7388	0.0135374	0.546836	3.28146	3.85781	-4.25356	-1.94071	-0.791788	0.320477	7.31166	6.84592	8.22703	11495.9	1565.14	0.505382	0.500263	3056.08	40346.8	6650.08	1103.09	134.966	518.779	51.0215	4.84683	0.357687	8.37475	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	175.652	-5.7645	-1.7607	0.0421707	80.9096	4580.82	-0.161847	2.7117	0.0138962	0.489778	3.6654	3.90117	-4.29034	-2.01581	-0.819059	0.315635	7.39816	6.92802	8.17897	11445.7	1563.39	0.50711	0.51827	2992.65	38330.5	6403.72	1121.88	122.327	471.411	49.0935	4.97356	0.320353	8.25447	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	175.916	-5.79907	-1.75275	0.0431198	78.7291	4579.57	-0.166615	2.68266	0.0142663	0.33445	4.45528	3.94593	-4.3304	-2.09874	-0.8483	0.310629	7.4778	7.00371	8.12759	11385.1	1560.2	0.509969	0.53612	2932.9	37274.3	6241.71	1081.91	122.964	443.21	47.5785	4.7753	0.32369	8.13345	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	176.181	-5.83426	-1.74477	0.0441054	76.5243	4578.12	-0.17243	2.65092	0.0146385	0.105149	5.54484	3.99036	-4.37125	-2.18894	-0.87917	0.30534	7.55599	7.07806	8.07754	11314.4	1555.94	0.513667	0.554325	2875.58	36677.7	6079.99	1053.76	121.551	425.239	45.9927	4.62281	0.319285	8.01163	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	176.446	-5.87018	-1.73673	0.0451373	74.2835	4576.39	-0.179584	2.61486	0.0150075	-0.190942	6.91507	4.0371	-4.41177	-2.28566	-0.911253	0.299894	7.63345	7.15175	8.03022	11229.8	1550.45	0.518296	0.573043	2821	35167.5	5964.68	1016.58	110.908	395.943	44.5964	4.36179	0.283708	7.88858	-0.44	-0.136432
214.345	149.144	27.4025	3.43914	1.13653	176.712	-5.90712	-1.72874	0.0462361	72.0108	4574.49	-0.188854	2.57261	0.0153668	-0.45603	8.11491	4.08902	-4.45387	-2.39033	-0.946121	0.294407	7.70976	7.22439	7.98627	11127.1	1543.08	0.52417	0.59238	2769.9	33662	5866.4	959.672	113.313	371.936	43.2249	4.01915	0.290959	7.76387	-0.44	-0.134925
213.644	149.011	27.3732	3.436	1.12456	176.979	-5.94479	-1.72074	0.0473832	69.7284	4572.41	-0.199426	2.52804	0.0157298	-0.621964	8.85519	4.13958	-4.49794	-2.50526	-0.983765	0.288596	7.78409	7.29519	7.94315	11018.3	1534.21	0.530784	0.611895	2720.88	32148.9	5772.56	910.707	110.522	351.079	41.902	3.70785	0.281105	7.63795	-0.44	-0.133417
212.992	148.877	27.3459	3.43286	1.11256	177.123	-5.9806	-1.71184	0.0484972	67.6005	4566.52	-0.210066	2.48517	0.0160764	-0.642928	8.95405	4.18313	-4.53986	-2.62482	-1.01982	0.282789	7.84967	7.35772	7.90206	10913.9	1524.47	0.537473	0.629925	2677.13	30462.8	5642.38	872.066	102.925	329.61	40.3918	3.44481	0.254946	7.51965	-0.44	-0.13191
212.344	148.744	27.3188	3.42972	1.10055	177.256	-6.0174	-1.70298	0.0496878	65.468	4560.26	-0.221922	2.44477	0.0164652	-0.318386	7.57244	4.22609	-4.58534	-2.75931	-1.0594	0.276636	7.9069	7.41245	7.86022	10817.8	1512.98	0.544646	0.646973	2637.54	28776.7	5411.74	898.785	96.372	312.25	38.6778	3.55177	0.233405	7.39999	-0.44	-0.130402
211.695	148.61	27.2917	3.42656	1.0885	177.39	-6.05511	-1.69398	0.0509392	63.3177	4553.7	-0.233711	2.41151	0.0169304	0.262883	5.1657	4.27206	-4.63605	-2.90536	-1.10071	0.27046	7.95856	7.46196	7.81817	10741.5	1500.72	0.551838	0.663158	2600.53	27153.4	5210.62	869.859	92.407	297.275	37.2495	3.38055	0.220242	7.27872	-0.44	-0.128894
