I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	176.538	-5.57987	-1.81045	0.0375947	92.4231	4738.49	-0.152335	2.86232	0.0121122	-0.15394	3.02186	3.11202	-4.02166	-1.98178	-0.500783	0.287636	6.82155	6.38167	8.36275	11665.2	1558.52	0.503528	0.415688	3384.75	42178.9	7346.23	1311.24	146.907	589.803	57.7287	5.84131	0.384806	8.91181	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	176.669	-5.61352	-1.80353	0.0384223	90.0643	4745.5	-0.15575	2.83306	0.0124317	-0.124605	2.98467	3.12739	-4.04074	-2.05738	-0.524503	0.281677	6.93948	6.49311	8.32948	11625.1	1561.26	0.502075	0.434247	3300.47	41545.3	7077.61	1251.81	149.244	567.877	55.4829	5.52431	0.391334	8.78304	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	176.8	-5.64784	-1.79661	0.0392853	87.6975	4752.16	-0.159187	2.80426	0.0127697	-0.105479	3.00196	3.14936	-4.06229	-2.13305	-0.548398	0.276214	7.0549	6.60224	8.29303	11583.7	1562.89	0.501478	0.453521	3219.26	42467.7	6851.07	1201.99	134.46	574.008	53.5925	5.22575	0.347591	8.65355	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	176.931	-5.68296	-1.78982	0.0401933	85.3269	4758.65	-0.162796	2.77568	0.0131297	-0.122725	3.1339	3.16864	-4.08974	-2.21999	-0.575715	0.270361	7.16659	6.70792	8.2536	11537.9	1563.09	0.501954	0.473573	3142.17	40880.4	6572.41	1203.84	134.696	532.514	51.5027	5.29942	0.349505	8.5233	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	177.125	-5.71754	-1.78267	0.0411048	83.0359	4763.12	-0.166527	2.74777	0.0134924	-0.178767	3.43109	3.1932	-4.12063	-2.30608	-0.602343	0.265121	7.27138	6.80713	8.21396	11488.2	1562.34	0.503198	0.493404	3070.8	39254	6356.68	1169.98	127.685	491.196	49.6702	5.12914	0.328968	8.39699	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	177.388	-5.75143	-1.77502	0.0420153	80.8358	4765.26	-0.170494	2.72	0.0138531	-0.28686	3.96346	3.2215	-4.15444	-2.39244	-0.627873	0.260416	7.3658	6.89661	8.17151	11433.6	1560.63	0.505213	0.512376	3005.3	37852.1	6252.96	1119.02	118.782	456.577	48.6105	4.84088	0.302469	8.27508	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	177.652	-5.78594	-1.76743	0.0429645	78.6345	4767.41	-0.175164	2.69056	0.014223	-0.476466	4.82209	3.25187	-4.19264	-2.48486	-0.653057	0.255715	7.44921	6.97583	8.1204	11370.4	1557.65	0.508271	0.530596	2943.23	35926.4	6380.17	1052.42	121.471	418.903	49.3889	4.49821	0.3126	8.15252	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	177.916	-5.82136	-1.75978	0.0439659	76.3995	4769.32	-0.181182	2.65665	0.0145925	-0.778319	6.15812	3.28237	-4.23129	-2.5865	-0.680913	0.250759	7.53203	7.0545	8.07196	11292.1	1552.99	0.51263	0.549613	2884.37	34569.3	6230.45	1008.94	113.777	390.418	47.6587	4.22267	0.288885	8.02884	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	178.181	-5.85748	-1.75212	0.0450109	74.1192	4771.08	-0.188448	2.61806	0.0149543	-1.12575	7.66129	3.31474	-4.27157	-2.69547	-0.710324	0.245681	7.61388	7.13229	8.02495	11200.6	1547.06	0.517833	0.569105	2827.76	33689.6	6034.23	979.819	108.355	372.093	45.5258	4.01875	0.27158	7.90391	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	178.446	-5.89441	-1.74442	0.0461091	71.8049	4772.65	-0.197311	2.57359	0.0153041	-1.48034	9.11924	3.34712	-4.31396	-2.81471	-0.742009	0.240358	7.69412	7.20859	7.97917	11093.6	1539.55	0.523961	0.589047	2773.67	32783.4	5855.34	937.469	113.263	356.931	43.4776	3.7567	0.284594	7.77739	-0.44	-0.136432
214.345	149.144	27.4025	3.43914	1.13653	178.712	-5.93244	-1.7368	0.0472846	69.4688	4774.12	-0.208875	2.52434	0.0156518	-1.6476	9.65269	3.37951	-4.35626	-2.94695	-0.777121	0.234749	7.77012	7.28094	7.93322	10975.1	1529.55	0.531201	0.609202	2722.88	31062.3	5621.35	956.623	105.447	333.623	41.2454	3.7772	0.259463	7.64879	-0.44	-0.134925
213.644	149.011	27.3732	3.436	1.12456	178.979	-5.97132	-1.72921	0.0485168	67.1177	4775.48	-0.222257	2.47599	0.016025	-1.55898	9.11643	3.40905	-4.39938	-3.09129	-0.815265	0.228772	7.84192	7.34939	7.8865	10860.2	1518.27	0.53884	0.629146	2674.38	29279.6	5428.85	949.581	97.7216	312.326	39.4199	3.66469	0.23542	7.51861	-0.44	-0.133417
212.992	148.877	27.3459	3.43286	1.11256	179	-6.00839	-1.7207	0.0497186	64.9223	4772.96	-0.23582	2.43373	0.0164102	-1.19288	7.46164	3.43516	-4.44017	-3.23738	-0.851997	0.22303	7.90272	7.40744	7.84086	10761.9	1506.62	0.546106	0.647095	2631.53	27925	5325.61	894.914	91.2781	300.28	38.3416	3.31677	0.215965	7.39602	-0.44	-0.13191
212.344	148.744	27.3188	3.42972	1.10055	179	-6.04659	-1.71226	0.0510114	62.7165	4770.14	-0.251548	2.40336	0.0169128	-0.33734	3.97563	3.45931	-4.48513	-3.40262	-0.892398	0.216939	7.95165	7.4544	7.79526	10694.3	1493.87	0.553258	0.663059	2594.34	26585.1	5193.53	842.119	94.4712	292.082	37.4508	3.04776	0.224543	7.27156	-0.44	-0.130402
211.695	148.61	27.2917	3.42656	1.0885	179	-6.08585	-1.70371	0.05238	60.464	4767.12	-0.267578	2.38555	0.0175492	0.623136	0.047727	3.48442	-4.53642	-3.58692	-0.936468	0.210676	7.99689	7.49789	7.75215	10657	1480.87	0.56013	0.678319	2559.93	25185.2	4989.03	812.375	94.3453	283.809	36.2231	2.91137	0.223283	7.14485	-0.44	-0.128894
211.047	148.475	27.2646	3.4234	1.07644	179	-6.12597	-1.69526	0.0538158	58.1547	4764.24	-0.284184	2.37812	0.0182998	1.66454	-4.14381	3.51289	-4.59458	-3.78635	-0.984417	0.204311	8.03902	7.53848	7.71142	10644.4	1467.65	0.566716	0.692965	2528	23753.1	4757.83	775.766	89.4274	275.104	34.861	2.75006	0.20855	7.01611	-0.44	-0.127387
