I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	190	-5.95552	-2.0602	0.0551722	50.8165	5782.37	0.205187	2.94962	0.0236841	10.3114	-28.5845	2.77321	-3.24116	-4.5814	-0.992858	0.140957	16.4967	15.4329	28.7186	9976.65	3592.85	1.10585	2.53033	5118.98	14437	4407.13	479.569	59.84	200.065	41.3202	1.88323	0.144721	6.90412	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	190	-6.01539	-2.06706	0.0579678	46.8988	5797.68	0.300902	2.99973	0.026147	10.467	-27.7112	2.76109	-3.11471	-4.9941	-0.955561	0.129529	15.7782	14.7632	27.9955	10026.2	3618.51	0.97733	2.34196	5235.51	12659.2	3876.84	403.818	52.9595	182.37	36.55	1.67776	0.133026	6.6795	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	190	-6.08008	-2.07488	0.0611829	42.7908	5812.9	0.397758	3.04948	0.0290676	10.2285	-25.3634	2.73815	-2.99704	-5.50287	-0.916271	0.117233	15.042	14.0768	27.3495	10075.8	3685.81	0.847312	2.16211	5387.66	11045.3	3310.76	332.85	42.1635	166.587	31.0479	1.4499	0.112244	6.44186	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	190	-6.1517	-2.08423	0.0649767	38.8841	5827.77	0.494466	3.10071	0.0327015	9.05187	-20.9332	2.62626	-2.85892	-6.16248	-0.873523	0.102301	14.4323	13.5086	26.9568	10128.1	3779.07	0.73633	2.02722	5556.46	10387	2934.46	296.682	36.3842	154.912	26.0974	1.29178	0.104118	6.19153	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	190	-6.22723	-2.09373	0.0691298	35.1334	5842.01	0.582683	3.13766	0.0366953	7.31219	-14.9491	2.47482	-2.7338	-6.91563	-0.822737	0.0872085	13.9747	13.0825	26.7001	10160.9	3872.99	0.649063	1.93278	5702.58	10860.1	2734.76	289.942	31.1	143.65	22.1256	1.12678	0.0894604	5.94253	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	190	-6.30674	-2.10309	0.0736911	31.5012	5856.09	0.663896	3.14969	0.0409452	5.27357	-8.07181	2.26906	-2.64382	-7.77852	-0.774686	0.0721419	13.6578	12.7879	26.4305	10164	3927.19	0.586181	1.8659	5788.93	12471.1	2618.47	298.236	27.9	134.021	18.6616	0.972547	0.0726519	5.69501	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	190	-6.39413	-2.11382	0.0789863	27.8014	5869.83	0.739002	3.12544	0.0455982	3.11636	-0.708635	2.08207	-2.57351	-8.82978	-0.746726	0.0583974	13.3949	12.5436	26.0989	10119.7	3937.61	0.534119	1.80538	5834.69	15461.2	2460.59	304.165	28.8399	126.804	14.5924	0.838134	0.0592147	5.43609	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	190	-6.49382	-2.12603	0.0851627	24.6035	5883.35	0.808401	3.06607	0.0507044	0.622587	6.29099	1.68321	-2.48211	-10.1211	-0.725019	0.0423654	13.1786	12.343	25.6634	10046.9	3895.9	0.493481	1.74706	5829.88	17635.3	2373.96	274.068	26.5638	111.894	11.8014	0.65978	0.0449867	5.1742	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	190	-6.60323	-2.13928	0.0919678	21.6376	5896.19	0.871748	2.98588	0.0560944	-1.88687	12.7946	1.18446	-2.38861	-11.5899	-0.715523	0.0265223	12.9811	12.16	25.1665	9957.7	3827.97	0.458736	1.68896	5798.47	20025.5	2256.88	232.161	23.9037	99.3553	9.26	0.493582	0.0335606	4.91476	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	190	-6.72488	-2.15372	0.099655	18.848	5907.85	0.928021	2.877	0.0617924	-4.20875	18.5441	0.58834	-2.30798	-13.2828	-0.730028	0.0119594	12.7898	11.9827	24.582	9841.01	3732.67	0.428673	1.62791	5739.26	21730.6	2055.18	185.689	22.3445	87.9317	6.63731	0.362652	0.0289153	4.65527	-0.44	-0.136432
