I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	177.169	-6.57358	-1.73456	0.0804918	27.9666	5090.15	0.519262	3.01127	0.0453287	0.9996	1.85992	1.07315	-3.38583	-9.84194	-0.160422	0.0305742	13.2257	12.3898	27.7103	10278.9	4702.72	0.497078	1.88481	6351.35	13236.6	2128.07	338.843	36.413	116.217	13.6698	0.788616	0.061128	5.37036	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	177.197	-6.63638	-1.75519	0.0843445	25.7447	5136.79	0.635848	2.96898	0.0483057	-0.0633555	6.86378	0.790011	-3.3213	-10.613	-0.0202555	0.0203704	13.0964	12.2701	27.1854	10247	4583.02	0.477107	1.83078	6282.35	14043.5	1953.74	316.602	36.0492	111.575	11.1281	0.665113	0.0546744	5.20013	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	177.225	-6.70836	-1.77686	0.0889289	23.6898	5182.92	0.755567	2.90232	0.0515543	-0.711244	10.4021	0.459228	-3.22482	-11.5148	0.130441	0.0114791	12.9743	12.1572	26.6808	10176.6	4456.89	0.459143	1.781	6212.61	15178.4	1863.47	306.246	33.7399	108.083	9.77008	0.616973	0.0493085	5.0262	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	177.253	-6.78174	-1.79852	0.0935845	21.6819	5229.34	0.875723	2.83548	0.0548551	-1.34995	13.7878	0.0994654	-3.12085	-12.4323	0.284251	0.0023497	12.8527	12.0447	26.1771	10107.2	4331.33	0.441442	1.73152	6142.59	16367.5	1777.77	292.596	31.205	104.548	8.42941	0.563598	0.0437344	4.85316	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	177.282	-6.86433	-1.82096	0.0987466	20.0135	5273.54	0.990091	2.76818	0.0585437	-1.81513	16.0367	-0.423356	-2.97266	-13.4934	0.436158	-0.0077274	12.7347	11.9355	25.6819	10044.6	4208.79	0.42583	1.68479	6070.83	18320.2	1749.65	261.801	27.5883	102.342	7.51665	0.489499	0.0375411	4.68739	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	177.31	-6.95002	-1.84334	0.104109	18.3686	5318.45	1.10429	2.69805	0.0623269	-2.32322	18.3575	-0.98361	-2.82905	-14.5921	0.584057	-0.0176856	12.6142	11.824	25.1766	9976.98	4086.24	0.410347	1.63739	5997.29	20088.3	1689.79	233.178	24.1976	99.5888	6.57276	0.425647	0.0320315	4.52154	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	177.339	-7.04578	-1.86673	0.11015	16.8638	5359.89	1.20577	2.62042	0.0664704	-2.87454	20.7921	-1.6301	-2.70017	-15.8729	0.690474	-0.0267081	12.484	11.7034	24.6427	9892.81	3963.82	0.395714	1.58864	5918.94	20976.5	1524.05	202.048	21.2537	93.9214	5.60053	0.371003	0.0282182	4.35832	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	177.366	-7.14653	-1.88999	0.116495	15.4281	5402	1.30456	2.54219	0.0708099	-3.49438	23.0397	-2.35144	-2.57318	-17.1928	0.791731	-0.0357186	12.3517	11.5806	24.0979	9808.07	3842.51	0.381445	1.53949	5838.02	21789.3	1466.65	171.911	18.4415	88.2266	4.92052	0.329737	0.0246956	4.19634	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	177.395	-7.25708	-1.91442	0.123463	14.169	5440.32	1.38677	2.46351	0.0755739	-4.09514	24.9637	-3.17177	-2.44781	-18.6635	0.857891	-0.0442008	12.2107	11.4498	23.5333	9721.68	3724.04	0.368044	1.48977	5753.89	21817.4	1640.34	144.173	15.2159	80.5746	4.74665	0.313374	0.0206133	4.03892	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	177.424	-7.37532	-1.93864	0.130957	12.9722	5478.61	1.46163	2.38309	0.0806447	-4.93318	27.1732	-4.07406	-2.3399	-20.2097	0.902209	-0.0521443	12.0699	11.3191	22.959	9633.15	3606.89	0.35526	1.44045	5665.66	21875.1	1769.05	116.045	12.9643	74.0799	4.38971	0.289038	0.0184255	3.88285	-0.446834	-0.1
