I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	187.462	-5.86838	-2.04001	0.0509816	57.9444	5623.36	-0.244963	2.9324	0.0206344	4.63309	-15.274	2.46439	-4.08178	-4.49409	-1.26276	0.142801	18.4421	17.2528	30.8827	9921.39	3781.32	1.40342	3.09511	4881.92	18296.2	5150.05	593.805	73.6384	237.109	46.9668	2.15768	0.166694	7.27676	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	187.331	-5.92156	-2.04749	0.0532728	54.2277	5653.56	-0.116254	2.97102	0.0224939	7.79217	-24.2666	2.47365	-3.91193	-4.82591	-1.26835	0.134124	18.2627	17.088	30.0795	9943.85	3686.33	1.3696	3.01272	4786.8	16228	4702.79	537.204	64.1753	220.057	42.3892	2.00327	0.149987	7.06572	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	187.2	-5.97825	-2.05616	0.0558336	50.389	5682.53	0.0193962	3.01942	0.0247104	9.10443	-27.0016	2.49757	-3.71968	-5.21235	-1.25833	0.125829	17.8694	16.7228	29.3472	9990.7	3613.31	1.29683	2.88156	4770.69	14976.8	4159.81	479.93	55.9997	213.264	36.9091	1.86859	0.137704	6.84677	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	187.069	-6.03962	-2.06637	0.0588156	46.3567	5709.99	0.160302	3.05225	0.0272544	9.34709	-25.9562	2.54498	-3.51827	-5.68515	-1.24596	0.117904	17.2177	16.1157	28.3069	10034.4	3535.32	1.18828	2.67804	4776.51	12664.6	3780.4	396.606	48.6535	186.469	33.5129	1.62244	0.127054	6.61558	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	186.938	-6.10328	-2.07698	0.0620792	42.4664	5734.38	0.292996	3.07173	0.0300144	9.13892	-23.7043	2.56489	-3.32137	-6.23434	-1.22398	0.108932	16.4311	15.3819	27.2683	10071.8	3493.28	1.06179	2.45222	4832.98	11072.3	3382.32	331.251	41.1809	166.182	29.3848	1.39046	0.112601	6.38288	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	186.806	-6.16922	-2.08759	0.0655778	38.8453	5755.73	0.414187	3.08591	0.0330372	8.44417	-20.2474	2.52496	-3.13646	-6.86061	-1.1861	0.0983261	15.6256	14.6303	26.4603	10107.7	3518.14	0.931725	2.24343	4958.94	10404.4	3016.61	299.539	36.6743	152.416	25.0443	1.2061	0.0996669	6.15371	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	186.674	-6.24055	-2.09953	0.0694705	35.3957	5776.33	0.533042	3.10316	0.0365618	6.99037	-14.9457	2.43736	-2.9359	-7.59853	-1.1339	0.086464	14.9003	13.9534	25.9163	10146.3	3571.86	0.812811	2.07112	5118.27	10817.5	2767.28	313.277	38.7673	142.778	21.3599	1.08225	0.0935799	5.92051	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	186.542	-6.32009	-2.11286	0.0740658	31.7983	5796.12	0.646136	3.09323	0.0405588	4.943	-8.01081	2.38761	-2.75753	-8.50262	-1.07298	0.0761312	14.3243	13.4161	25.6365	10133.7	3651.48	0.713227	1.94815	5294.09	12451	2549.88	337.704	38.0344	136.351	18.0725	0.982386	0.0791856	5.67678	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	186.41	-6.40645	-2.12723	0.0792272	28.2861	5815.21	0.754438	3.05861	0.044845	2.76444	-1.00753	2.30692	-2.5863	-9.55043	-1.00606	0.0656042	13.8356	12.9605	25.4215	10081.8	3726.71	0.627253	1.84834	5456.64	14319.7	2331.41	348.66	35.9411	129.773	14.7629	0.872369	0.0650977	5.42691	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	186.277	-6.50129	-2.14261	0.0849663	25.1889	5833.41	0.857442	3.0012	0.0494337	0.594727	5.33626	2.06591	-2.40493	-10.7659	-0.927406	0.0524279	13.4384	12.5903	25.2116	9996.81	3783.74	0.557102	1.76839	5587.6	15916.7	2200.46	324.547	31.2231	120.251	12.2272	0.710056	0.0506901	5.17665	-0.44	-0.136432
