I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	189	-5.91219	-2.05072	0.0530538	54.3067	5647.33	0.0189967	2.92968	0.0220367	8.46724	-25.2088	2.55972	-3.55103	-4.62958	-1.07272	0.138994	17.7021	16.5605	29.6763	9926	3622.75	1.29942	2.85274	4889.99	15749.3	4781.86	531.888	62.8983	216.979	42.9947	1.98253	0.143403	7.0863	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	189	-5.96856	-2.058	0.0555719	50.5112	5669.13	0.135737	2.9781	0.0241919	9.73107	-27.9136	2.57404	-3.37743	-4.98501	-1.03975	0.129991	17.1926	16.0867	29.0035	9973.81	3585.69	1.20328	2.70085	4927.13	14500	4266.22	477.39	55.3835	207.062	38.2504	1.87679	0.13155	6.86974	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	189	-6.02887	-2.06627	0.0584224	46.5627	5690.11	0.254322	3.01802	0.0266355	9.94627	-26.936	2.59576	-3.19895	-5.41007	-0.994384	0.120856	16.4689	15.4122	28.1205	10021.5	3561.07	1.078	2.49401	4998.53	13379.3	3676.73	422.233	48.2365	198.925	32.7929	1.76747	0.122547	6.64308	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	189	-6.09498	-2.07615	0.0618057	42.4364	5710.13	0.373995	3.051	0.0295939	9.70079	-24.4743	2.62227	-3.01956	-5.95384	-0.948834	0.111247	15.6668	14.664	27.228	10065.3	3561.41	0.944814	2.27926	5102.73	11479.2	3369.78	349.295	42.5763	174.454	30.2666	1.52875	0.117797	6.401	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	188.938	-6.16408	-2.08628	0.0654631	38.6888	5728.42	0.484103	3.08565	0.0329525	8.78696	-20.4553	2.5579	-2.83832	-6.58507	-0.890142	0.0991459	14.9542	13.9994	26.6581	10113.4	3621.2	0.823096	2.10867	5258.75	10877.7	3076.66	322.122	36.4649	156.84	26.5947	1.35761	0.104429	6.1615	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	188.806	-6.23626	-2.0963	0.0694122	35.1898	5745.33	0.584174	3.11295	0.036637	7.29498	-14.9781	2.42317	-2.68166	-7.30576	-0.823489	0.0856574	14.3824	13.4662	26.3257	10151	3719.43	0.722015	1.98653	5428.49	11423.5	2803.25	327.288	31.7093	144.892	22.131	1.22235	0.0872932	5.92572	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	188.674	-6.31503	-2.10764	0.0739149	31.5562	5761.8	0.680084	3.11956	0.0407546	5.18992	-7.819	2.32307	-2.53831	-8.15864	-0.759485	0.0736301	13.9203	13.0357	26.1205	10151.8	3811.92	0.637529	1.895	5587.9	13019.6	2563.82	346.691	30.2851	136.684	17.4194	1.07437	0.0727715	5.68133	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	188.542	-6.40367	-2.12037	0.0792827	28.0005	5777.93	0.770542	3.0847	0.0452932	3.02992	-0.70374	2.17078	-2.4031	-9.2296	-0.699615	0.0613167	13.5633	12.7034	25.8493	10095.6	3857.2	0.572071	1.82068	5689.27	14440.2	2435.76	319.254	28.2248	124.7	13.786	0.856357	0.0600029	5.426	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	188.41	-6.50065	-2.13414	0.0852066	24.8156	5793.46	0.855796	3.02917	0.0501299	0.77577	5.97544	1.86993	-2.25528	-10.4537	-0.639938	0.0470722	13.2605	12.4218	25.5126	10019.1	3867.55	0.517694	1.75299	5750.21	16447.2	2303.61	288.647	25.9806	114.137	10.6928	0.682262	0.0496282	5.17055	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	188.277	-6.60783	-2.14895	0.0917824	21.9035	5808.04	0.935236	2.95343	0.0553176	-1.54795	12.1656	1.4299	-2.11504	-11.8779	-0.590665	0.0319782	13.0064	12.1856	25.0892	9929.46	3837.57	0.474134	1.68946	5765.97	19196	2153.35	272.555	23.6873	104.655	8.63135	0.605574	0.0415639	4.91736	-0.44	-0.136432
