I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	168.091	-6.01392	-1.51149	0.0490807	66.2699	5739.09	-1.3951	2.69668	0.0178023	-1.11536	-12.5988	2.77639	-8.49049	-0.558044	-4.18004	0.184107	8.85282	8.2933	9.07317	10860.3	1570.31	0.641663	0.788916	2737.22	26543.3	5688.43	817.612	95.8511	392.162	48.5362	2.51968	0.213361	7.46154	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	168.189	-6.03891	-1.5281	0.0501481	64.3466	5778.58	-1.56811	2.70371	0.0184951	-0.898595	-15.8905	2.64829	-8.70146	-0.69838	-4.38596	0.170334	8.94289	8.37867	9.08466	10834.9	1565.96	0.649852	0.811312	2708.26	25257.7	5472.88	835.204	90.6171	378.735	47.4875	2.60807	0.198259	7.35368	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	168.288	-6.0655	-1.54623	0.0513446	62.3458	5819.55	-1.78177	2.72486	0.0193963	-0.771588	-18.148	2.4792	-8.96041	-0.882615	-4.61861	0.1548	9.04327	8.47374	9.11735	10823.7	1561.66	0.660326	0.835762	2684.16	23987.8	5229.6	788.708	92.923	363.053	45.8304	2.45365	0.203291	7.2408	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	168.386	-6.09239	-1.56469	0.0525674	60.3172	5861.21	-2.00403	2.74731	0.0203336	-0.674766	-20.1997	2.30078	-9.2302	-1.07579	-4.85955	0.138791	9.15252	8.57712	9.16373	10811.5	1558.34	0.671639	0.861676	2661.85	22608.9	4992.51	740.646	94.0013	344.47	44.0701	2.28383	0.20498	7.12687	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	168.486	-6.12091	-1.58465	0.0539355	58.1472	5904.08	-2.24335	2.77724	0.0214625	-0.688735	-21.2203	2.08262	-9.52789	-1.31829	-5.12587	0.121465	9.28981	8.70682	9.2586	10799.5	1558.71	0.68588	0.89196	2647.38	20374.4	4800.57	658.287	88.6637	303.55	41.6209	1.90621	0.189129	7.00728	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	168.584	-6.15021	-1.60543	0.05537	55.9194	5948.67	-2.49155	2.80777	0.022667	-0.744248	-21.9347	1.83897	-9.8471	-1.58396	-5.41263	0.103007	9.44406	8.85245	9.37637	10782.8	1559.65	0.701947	0.925526	2635.07	18474.6	4604.68	593.018	83.514	268.904	38.3597	1.58743	0.173177	6.88507	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	168.685	-6.18138	-1.62782	0.0569712	53.5655	5993.75	-2.72645	2.84111	0.0240555	-0.851998	-22.0193	1.55785	-10.1753	-1.9039	-5.72273	0.0839584	9.62268	9.02096	9.53417	10761.2	1563.12	0.72024	0.96309	2628.61	17154.4	4429.51	560.327	78.2244	245.617	33.3433	1.35364	0.154658	6.75639	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	168.783	-6.21394	-1.65166	0.0586932	51.1539	6041.37	-2.94791	2.87326	0.0255685	-0.998063	-21.7341	1.2269	-10.5359	-2.26862	-6.06537	0.0632331	9.80538	9.19333	9.69276	10733.6	1567.08	0.740304	1.00268	2621.22	16075.1	4180.93	523.375	71.801	204.744	26.3492	1.25041	0.134559	6.62358	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	168.884	-6.24834	-1.677	0.0605789	48.6974	6088.85	-3.13517	2.90515	0.0272477	-1.12107	-21.0143	0.871667	-10.8871	-2.68142	-6.42189	0.0430766	9.98031	9.35843	9.838	10703.3	1563.55	0.760878	1.04181	2612.39	15765.3	3795.04	496.501	60.5833	108.511	15.678	1.39326	0.10393	6.48562	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	168.982	-6.28499	-1.70456	0.0626719	46.1541	6139.09	-3.26231	2.9438	0.0292367	-1.33595	-19.8577	0.431085	-11.2857	-3.17532	-6.8263	0.0207984	10.2549	9.61709	10.1839	10667.9	1641.19	0.785232	1.09428	2632.89	15529.1	3450.38	445.025	53.1605	9864.16	129.631	9.50657	0.195324	6.34129	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	169.084	-6.3234	-1.73347	0.0649267	43.5881	6188.85	-3.34719	2.98622	0.0314413	-1.54629	-18.2851	-0.0246832	-11.6607	-3.71396	-7.23649	-0.000367393	10.5463	9.89153	10.5636	10632.9	1755.77	0.810406	1.14798	2660.37	15564.1	3153.48	370.916	47.8264	28897.5	377.378	25.1512	0.394029	6.19286	-0.446482	-0.1
