I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	168.506	-6.08866	-1.58658	0.0528369	58.8758	6181.04	-2.47392	3.07426	0.0229917	-1.50184	-16.7059	-0.11793	-6.71241	-4.77836	-3.28137	-0.00672451	15.6435	14.6549	26.615	10342.6	4208.8	1.0509	2.27647	4947.25	19929.6	4947.44	651.997	86.5744	16682.9	74.0204	2.3649	0.187926	7.10476	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	168.591	-6.12025	-1.6066	0.0543557	56.4049	6227.93	-2.45031	3.20535	0.0250784	-1.04531	-19.4104	-0.220498	-6.79128	-5.11022	-3.44458	-0.0124281	16.8032	15.7431	29.8036	10335.7	4424.57	1.14884	2.66308	5218.28	18874	4679.77	616.547	80.7086	27911.4	88.5938	2.25495	0.180153	6.96918	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	168.676	-6.15512	-1.62908	0.0561654	53.677	6278.33	-2.29781	3.30381	0.0273475	-0.857457	-20.322	-0.32783	-6.88549	-5.5225	-3.64801	-0.0173372	17.9002	16.7729	31.6145	10334	4359.28	1.25213	3.02363	5197.64	16820.1	4419.72	542.224	74.65	26485.3	107.137	2.0076	0.174058	6.82197	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	168.76	-6.19068	-1.6521	0.0580336	50.9133	6329.24	-2.12237	3.39242	0.0296122	-0.681898	-20.9624	-0.4318	-6.97619	-5.94945	-3.85528	-0.0219555	18.9377	17.7471	33.0557	10331.4	4262.39	1.35405	3.35671	5133.77	14843	4142.93	470.983	67.8013	25828.9	121.338	1.77526	0.165826	6.67259	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	168.845	-6.22995	-1.67767	0.0602354	47.9955	6383.9	-1.85216	3.4387	0.0319636	-0.721348	-20.0849	-0.540816	-7.06803	-6.46148	-4.08932	-0.0256853	19.7906	18.5487	33.0487	10327	4002.31	1.44829	3.5869	4875.7	13360.1	3763.77	418.647	55.8585	29359.5	110.092	1.62657	0.143345	6.51195	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	168.929	-6.27094	-1.70452	0.0625918	44.9932	6439.55	-1.54689	3.46178	0.0342704	-0.761285	-18.6801	-0.634671	-7.14715	-7.01083	-4.32832	-0.0285761	20.3278	19.0544	32.3837	10319.1	3736.26	1.52076	3.7169	4603.56	12128.6	3398.53	371.22	45.2816	32243.1	96.5409	1.49027	0.122711	6.34616	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	169.016	-6.31576	-1.73377	0.0653256	41.8661	6498.72	-1.18882	3.44829	0.0366649	-1.03514	-15.9987	-0.739282	-7.22277	-7.6586	-4.59067	-0.0306971	20.4914	19.21	30.7273	10306.7	3421.38	1.57099	3.72229	4285.23	11675.3	3079.75	338.953	38.7208	33245.3	74.9857	1.38629	0.107184	6.17006	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	169.099	-6.36393	-1.76523	0.0683647	38.7527	6559.4	-0.803872	3.4124	0.0391178	-1.31035	-12.9528	-0.825566	-7.26147	-8.36699	-4.82672	-0.03202	20.2486	18.9846	28.7796	10285	3154.57	1.58114	3.61732	4014.89	11848.5	2845.21	318.67	33.5354	32513.6	55.5879	1.25548	0.0934817	5.98587	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	169.186	-6.41616	-1.79896	0.0718421	35.6572	6622.81	-0.396825	3.36034	0.0418476	-1.87484	-9.42931	-0.949893	-7.29375	-9.18395	-5.05656	-0.033581	19.7907	18.5575	26.7026	10251.1	2915.26	1.57689	3.46402	3776.89	13539.4	2742.05	333.067	30.7409	30180.2	37.805	1.12005	0.0830229	5.79197	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	169.271	-6.47352	-1.83518	0.0756172	32.8388	6688.06	0.0126042	3.29305	0.04464	-2.64277	-5.15176	-1.09665	-7.24627	-10.0704	-5.19946	-0.0358228	19.0872	17.8999	24.7225	10206.7	2724.64	1.5351	3.24829	3596.54	14976.1	2730.97	337.144	30.848	25946.4	25.5718	0.961593	0.0738692	5.59822	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	169.357	-6.53486	-1.87297	0.0796571	30.2821	6754.89	0.426278	3.21904	0.0476048	-3.89702	-0.199632	-1.35472	-7.16979	-11.0531	-5.30597	-0.0405964	18.3261	17.1882	22.8066	10149.5	2547.31	1.49162	3.02681	3433.54	16452.4	2817.4	330.641	33.9566	20023.1	18.3634	0.779018	0.0659508	5.40626	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	169.442	-6.60348	-1.91328	0.0842582	27.657	6823.38	0.814575	3.1147	0.0505054	-5.15746	5.00513	-1.52529	-7.01144	-12.1243	-5.27613	-0.0420721	17.454	16.3721	21.111	10051.5	2399.32	1.41642	2.78084	3318.72	17143.8	2817.04	320.938	34.7077	14704.9	13.9957	0.64721	0.0555532	5.21065	-0.446131	-0.1
209.15	145.877	27.1854	3.36227	0.842915	169.529	-6.67574	-1.95467	0.0891744	25.0009	6892.23	1.20005	2.99449	0.053422	-6.65866	10.2979	-1.7356	-6.83816	-13.2761	-5.20961	-0.0430263	16.5506	15.5266	19.3913	9925.48	2246.01	1.34238	2.53387	3199.45	17060.1	2790.65	302.299	33.9212	8542.99	11.4874	0.528442	0.043534	5.01402	-0.445779	-0.1
208.62	145.885	27.1632	3.36243	0.843552	169.614	-6.75863	-1.99816	0.0946347	22.8456	6961.86	1.53841	2.86628	0.0563689	-7.93192	13.493	-2.10411	-6.50714	-14.5128	-4.89081	-0.0474494	15.6867	14.7178	18.0349	9784.01	2125.19	1.25313	2.30485	3128.64	17126.6	2593.41	279.894	32.4132	5452.43	9.7115	0.437097	0.0345484	4.82332	-0.445427	-0.1
208.089	145.892	27.1411	3.3626	0.844203	169.701	-6.8448	-2.04225	0.10029	20.8695	7030.91	1.87362	2.73527	0.0593607	-9.26239	15.9446	-2.60265	-6.13795	-15.8076	-4.52055	-0.0539186	14.8161	13.9027	16.6496	9635.39	2001.19	1.1683	2.08006	3047.65	17089.7	2329.26	255.888	30.6736	2893.02	8.1985	0.356476	0.0268597	4.63501	-0.445075	-0.1
207.559	145.899	27.119	3.36277	0.844844	169.787	-6.94368	-2.08668	0.106514	19.1017	7099.22	2.15185	2.61571	0.0626485	-10.2964	17.098	-3.25038	-5.69974	-17.1771	-3.92643	-0.0611087	14.0935	13.2261	15.7257	9496.29	1919.63	1.08128	1.89629	3023.27	16928.6	2021.64	230.391	28.603	1674.33	6.93435	0.302271	0.0225924	4.45803	-0.444724	-0.1
207.028	145.906	27.0968	3.36294	0.845493	169.873	-7.04471	-2.13123	0.112864	17.3559	7166.69	2.42748	2.49729	0.0660111	-11.3052	18.0536	-3.96079	-5.25491	-18.5832	-3.31513	-0.0685768	13.3727	12.5513	14.7856	9357.77	1836.35	0.997529	1.71534	2991.41	16766.3	1693.6	204.485	26.4551	662.071	5.64319	0.253239	0.0189999	4.2826	-0.444372	-0.1
206.498	145.913	27.0747	3.36311	0.84614	169.96	-7.16156	-2.17531	0.120013	15.9708	7231.38	2.64759	2.39361	0.0699585	-11.9517	18.751	-5.13642	-4.70271	-20.092	-2.51191	-0.0805971	12.8219	12.0356	14.2924	9240.93	1796.97	0.913735	1.57402	3021.77	16565.7	1534.06	178.051	23.3016	443.672	5.48227	0.221802	0.0163848	4.11738	-0.44402	-0.1
205.967	145.921	27.0526	3.36328	0.846788	170.046	-7.28035	-2.2193	0.127277	14.6144	7295.66	2.8626	2.29144	0.0739951	-12.5944	19.4904	-6.36513	-4.14122	-21.6127	-1.69448	-0.0929187	12.2838	11.5319	13.8256	9127.4	1761.2	0.831128	1.43639	3056.06	16414.7	1392.59	151.373	20.1218	270.695	5.37078	0.191344	0.0139792	3.95312	-0.443668	-0.1
205.437	145.928	27.0304	3.36345	0.84744	170.133	-7.41602	-2.26287	0.135542	13.4234	7355.57	3.03081	2.202	0.0788511	-13.5184	21.0427	-7.97862	-3.50778	-23.2115	-0.775124	-0.10543	11.8751	11.1495	13.6608	9046.12	1753.22	0.749414	1.32687	3136.44	17070.6	1388.41	123.094	16.36	228.062	5.04831	0.16199	0.0132075	3.79677	-0.443317	-0.1
204.906	145.935	27.0083	3.36362	0.848087	170.22	-7.55521	-2.30614	0.144081	12.2583	7415.42	3.18888	2.11346	0.0838765	-14.7013	22.9193	-9.63717	-2.86119	-24.7982	0.170124	-0.117714	11.4833	10.783	13.5279	8967.8	1754.12	0.671382	1.22445	3225.12	17631.2	1422.44	97.8553	12.9113	192.81	4.79734	0.139465	0.0127795	3.64118	-0.442965	-0.1
204.376	145.942	26.9862	3.36379	0.848744	170.307	-7.71111	-2.35009	0.153956	11.2002	7470.53	3.30718	2.0259	0.089697	-17.2507	26.4299	-11.6113	-2.14319	-26.4389	1.19036	-0.128297	11.1481	10.4694	13.5287	8899.44	1768.36	0.597326	1.13781	3339.38	18117.8	1640.5	89.3645	10.6769	194.274	4.87388	0.153361	0.0137621	3.48807	-0.442613	-0.1
203.846	145.95	26.9641	3.36396	0.849393	170.394	-7.87353	-2.39366	0.164411	10.1901	7525.21	3.40997	1.93708	0.0957237	-19.9065	30.4361	-13.6317	-1.40199	-28.0353	2.24922	-0.138115	10.8165	10.1591	13.4812	8825.84	1783.47	0.531132	1.05772	3444.92	18131.1	1847.39	87.9496	8.69436	191.929	4.98719	0.162474	0.0143826	3.33622	-0.442261	-0.1
203.315	145.957	26.942	3.36414	0.850051	170.482	-8.05254	-2.43801	0.176363	9.28472	7575.74	3.47571	1.84267	0.102268	-22.8393	35.7258	-15.8199	-0.603709	-29.6003	3.37533	-0.145328	10.4842	9.84817	13.3877	8737.29	1798.25	0.473873	0.985712	3543.99	16980.5	2030.35	104.363	7.33016	179.9	5.19638	0.15976	0.0141215	3.18626	-0.44191	-0.1
202.785	145.964	26.9199	3.36431	0.850704	170.569	-8.2403	-2.48177	0.189092	8.46931	7624.7	3.51937	1.74614	0.108823	-25.2688	41.0029	-17.9504	0.266731	-30.9802	4.56262	-0.151234	10.1549	9.53999	13.1802	8632.28	1796.78	0.427118	0.919131	3611.16	15923.5	2142.66	126.018	7.40414	170.859	5.39229	0.164019	0.0136068	3.04053	-0.441558	-0.1
202.255	145.971	26.8978	3.36448	0.851362	170.657	-8.44169	-2.52581	0.20304	7.78137	7669.79	3.52867	1.64522	0.115416	-26.773	46.3092	-20.0086	1.24196	-32.1255	5.8295	-0.154705	9.82544	9.23152	12.8572	8502.02	1777.58	0.391496	0.858628	3645.21	14901.3	2151.25	155.181	9.6235	165.405	5.59712	0.177283	0.0127265	2.9002	-0.441206	-0.1
201.724	145.979	26.8757	3.36465	0.852017	170.744	-8.6507	-2.5684	0.217664	7.2024	7711.34	3.50785	1.54907	0.121995	-28.3736	50.7482	-21.8517	2.34569	-32.9644	7.13996	-0.156844	9.49568	8.92272	12.4265	8365.06	1738.38	0.363932	0.801526	3644.32	13854.3	2111.22	164.014	11.0045	156.633	5.68708	0.180163	0.0121159	2.7687	-0.440854	-0.1
201.194	145.986	26.8536	3.36482	0.852677	170.832	-8.86748	-2.61042	0.232981	6.72264	7748.96	3.45744	1.45679	0.128585	-29.9723	54.4256	-23.4945	3.56551	-33.5401	8.48614	-0.157491	9.16334	8.61143	11.9129	8221.29	1683.88	0.342635	0.747263	3615.78	12779.9	2025.36	154.006	11.629	145.137	5.68666	0.173599	0.0117804	2.64491	-0.440503	-0.1
200.664	145.993	26.8315	3.365	0.853335	170.92	-9.08992	-2.64796	0.248899	6.33054	7780.02	3.37047	1.37117	0.134994	-31.7676	57.3136	-24.5198	5.05752	-33.6003	9.93348	-0.15505	8.82561	8.29499	11.2851	8074.61	1606.76	0.329182	0.696507	3543.67	12086.2	1847.32	141.677	11.392	138.799	5.24027	0.167631	0.0117564	2.53187	-0.440151	-0.1
200.134	146.001	26.8094	3.36517	0.853995	171.003	-9.3159	-2.68322	0.265191	5.98887	7807.1	3.26164	1.2893	0.14131	-33.6956	59.7481	-25.185	6.70314	-33.3706	11.437	-0.15074	8.48369	7.97455	10.5933	7926.15	1517.6	0.32014	0.647799	3446.84	11615.9	1614.2	127.812	10.653	135.465	4.52925	0.161959	0.0119251	2.42494	-0.439799	-0.1
199.607	146.008	26.7875	3.36534	0.854656	171.04	-9.54027	-2.71119	0.281372	5.75145	7823.83	3.11643	1.21799	0.147149	-34.6258	60.963	-25.0123	8.61962	-32.6172	12.9567	-0.143937	8.15551	7.66693	9.90413	7783.25	1429.53	0.316114	0.606031	3333.03	10409.4	1471.25	120.182	9.95716	118.679	4.15979	0.164444	0.0121157	2.33248	-0.439447	-0.1
